,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,4,0.0,100,25,75,5,19,0.440648,0.415899456342998,-0.008759789288102107,-0.044209920713399596,0.010413,0.0,0.260916760927459,0.260916760927459
1,6,0.0,100,28,72,6,21,0.440648,0.415899456342998,-0.008759789288102107,-0.044209920713399596,0.010413,0.0,0.260916760927459,0.260916760927459
2,5,1.0,102,9,91,1,6,0.440758,0.41598115568940325,-0.008759789288102107,-0.04076445950509186,0.010494,0.009335346116504854,0.2652856929662939,0.2614021978206629
3,6,0.0,100,28,72,6,21,0.440758,0.41598115568940325,-0.008759789288102107,-0.04076445950509186,0.010494,0.009335346116504854,0.2652856929662939,0.2614021978206629
4,5,0.523814,102,9,91,1,6,0.44087,0.4160628550358085,-0.008759789288102107,-0.04076445950509186,0.010575,0.014225333980582525,0.2696546250051289,0.2618876347138667
5,6,-0.438964,100,28,72,6,21,0.440497,0.4155844548199366,-0.008759789288102107,-0.04076445950509186,0.010401,0.012987145307443366,0.2696058500605104,0.26122192791775023
6,6,1.0,102,4,96,1,3,0.440571,0.41566615416634184,-0.008759789288102107,-0.04076445950509186,0.010482,0.021167045307443365,0.2715475976333259,0.26170736481095414
7,1,-1.0,102,4,96,0,3,0.440571,0.41566615416634184,-0.008759789288102107,-0.04076445950509186,0.010482,0.021167045307443365,0.2734893452061415,0.26170736481095414
8,1,-0.854031,102,4,96,0,3,0.440571,0.41566615416634184,-0.008759789288102107,-0.04076445950509186,0.010482,0.021167045307443365,0.275431092778957,0.26170736481095414
9,1,-0.710713,102,4,96,0,3,0.440571,0.41566615416634184,-0.008759789288102107,-0.04076445950509186,0.010482,0.021167045307443365,0.2773728403517725,0.26170736481095414
10,1,-0.446872,102,5,95,1,4,0.440452,0.4155844548199366,-0.010630543366061522,-0.019115565133097555,0.010401,0.02464012297734628,0.279800024817792,0.26219280170415804
11,1,0.0,100,49,51,10,39,0.440452,0.4155844548199366,-0.010630543366061522,-0.019115565133097555,0.010401,0.02464012297734628,0.279800024817792,0.26219280170415804
12,3,-1.0,102,5,95,1,4,0.440363,0.4155027554735314,-0.010630543366061522,-0.019115565133097555,0.01032,0.03262181618122977,0.2822272092838114,0.2626782385973619
13,1,0.0,100,49,51,10,39,0.440363,0.4155027554735314,-0.010630543366061522,-0.019115565133097555,0.01032,0.03262181618122977,0.2822272092838114,0.2626782385973619
14,3,-0.767957,102,5,95,1,4,0.440277,0.4154210561271262,-0.010630543366061522,-0.019115565133097555,0.010239,0.0387514142394822,0.2846543937498308,0.26316367549056574
15,1,-0.474422,100,49,51,10,39,0.439779,0.4147036962762681,-0.012513386242610046,-0.019115565133097555,0.009979,0.04674597051779935,0.28968830976288024,0.2647427332575561
16,3,-0.446449,102,5,95,1,4,0.439693,0.4146219969298629,-0.012513386242610046,-0.019115565133097555,0.009898,0.05030938653721684,0.29211549422889965,0.26522817015075995
17,1,-0.26932,100,49,51,10,39,0.439206,0.4138968837576598,-0.015049472021285447,-0.01576646570120361,0.009645,0.05491092330097088,0.2984316756024606,0.26654360311192493
18,3,-0.327693,102,5,95,1,4,0.439122,0.4138151844112546,-0.015049472021285447,-0.01576646570120361,0.009564,0.057526470388349515,0.30085886006848006,0.26702904000512884
19,1,-0.703984,100,47,53,8,37,0.438817,0.41335160061762827,-0.021656943624322227,-0.02606310013717419,0.009214,0.06593003466019418,0.305844953778174,0.26769661864590555
20,2,-1.0,102,19,81,5,14,0.438392,0.4129431038856022,-0.017288013855868076,-0.008213758044724977,0.00881,0.08900490699029127,0.3149409384131332,0.27012380311192496
21,2,-0.395002,102,33,67,7,26,0.437813,0.41237120846076547,-0.017288013855868076,-0.0158531299728874,0.008405,0.09738239302588998,0.32532938736429395,0.27344636994040394
22,2,0.327691,102,29,71,6,22,0.438329,0.41286140453919695,-0.017288013855868076,-0.008213758044724977,0.008729,0.09136653317152103,0.31611609610215813,0.27076413328991844
23,5,0.469631,102,15,85,4,11,0.438719,0.4131882019248178,-0.017288013855868076,-0.008213758044724977,0.009052,0.1054487009708738,0.3233976495002164,0.272705880862734
24,5,0.0,100,34,66,6,27,0.438719,0.4131882019248178,-0.017288013855868076,-0.008213758044724977,0.009052,0.1054487009708738,0.3233976495002164,0.272705880862734
25,6,0.667536,102,4,96,1,3,0.438795,0.41326990127122304,-0.017288013855868076,-0.008213758044724977,0.009133,0.1109090786407767,0.32533939707303194,0.2731913177559379
26,1,0.022621,102,5,95,1,4,0.438832,0.4132955264447789,-0.017288013855868076,-0.008213758044724977,0.009159,0.11073327184466021,0.3243881116361387,0.2730155109598214
27,1,0.199893,100,31,69,6,24,0.43914,0.41364336261014495,-0.017288013855868076,-0.008213758044724977,0.009095,0.11146436925566343,0.32688520678176974,0.27374660837082465
28,5,0.575776,102,15,85,4,11,0.439498,0.4139324453726829,-0.011203877898836046,-0.008213758044724977,0.009381,0.12882250064724918,0.3336813232866241,0.2756883559436402
29,5,0.0,100,34,66,6,27,0.439498,0.4139324453726829,-0.011203877898836046,-0.008213758044724977,0.009381,0.12882250064724918,0.3336813232866241,0.2756883559436402
30,6,0.268145,102,4,96,0,3,0.439498,0.4139324453726829,-0.008892411591622244,-0.005671372316145279,0.009381,0.12882250064724918,0.3356230708594396,0.2756883559436402
31,1,-0.491119,102,5,95,1,4,0.439379,0.41385074602627764,-0.008892411591622244,-0.005671372316145279,0.0093,0.1326394647249191,0.338050255325459,0.27617379283684407
32,1,0.27768,100,43,57,9,33,0.439888,0.41450205478183916,-0.011116395325858706,-0.005671372316145279,0.00946,0.1336602118932039,0.34023779610215804,0.276466518322281
33,2,1.0,101,6,94,0,4,0.439888,0.41450205478183916,-0.011116395325858706,-0.005671372316145279,0.00946,0.1336602118932039,0.3431504174613814,0.276466518322281
34,5,0.390291,100,28,72,6,21,0.440108,0.4147308245867949,-0.011116395325858706,-0.005671372316145279,0.009395,0.13066769085760516,0.3422386242574979,0.27615642220577613
35,5,0.649165,102,15,85,4,11,0.440426,0.4149759226260105,-0.011116395325858706,-0.005671372316145279,0.009638,0.15029486270226539,0.34878082521891235,0.2779708534426771
36,3,1.0,101,4,96,1,3,0.440493,0.4150576219724157,-0.011116395325858706,-0.005671372316145279,0.009557,0.15519877046925568,0.3507225727917279,0.27845629033588093
37,1,-0.465008,102,5,95,1,4,0.440376,0.41497592262601046,-0.011116395325858706,-0.005671372316145279,0.009476,0.1588128015372168,0.35314975725774733,0.27894172722908483
38,1,-0.52264,100,30,70,7,23,0.440141,0.4146290068268358,-0.011116395325858706,-0.005671372316145279,0.009658,0.15430712192556637,0.3519815443615238,0.2783440971319975
39,6,0.770612,102,4,96,0,3,0.440141,0.4146290068268358,-0.011116395325858706,-0.005671372316145279,0.009658,0.15430712192556637,0.3539232919343393,0.2783440971319975
40,1,-0.671812,102,5,95,1,4,0.440026,0.4145473074804306,-0.011119076438066523,-0.006137986143430424,0.009577,0.15952842872168285,0.3563504764003588,0.27882953402520133
41,1,0.576532,100,45,55,10,35,0.440617,0.41536430094448284,-0.011119076438066523,-0.009495222845258142,0.009253,0.16679619771256252,0.36066861426443647,0.28175659201284475
42,1,1.0,101,8,92,2,5,0.44072,0.4154460002908881,-0.011119076438066523,-0.009495222845258142,0.009172,0.17618469479994117,0.36455210941006755,0.2827274657992525
43,1,0.611716,101,7,93,1,4,0.44072,0.4154460002908881,-0.011119076438066523,-0.009495222845258142,0.009172,0.18050616858634894,0.36795016766249466,0.2832129026924564
44,1,-0.587983,102,5,95,1,4,0.440606,0.41536430094448284,-0.011119076438066523,-0.009495222845258142,0.009092,0.18507595402324212,0.3703773521285142,0.2836983395856603
45,1,-0.620508,100,43,57,10,33,0.439998,0.41454730748043056,-0.011119076438066523,-0.006137986143430424,0.009253,0.17798999615916444,0.3672392064974462,0.2817730685500616
46,2,-0.390157,101,9,91,2,6,0.439742,0.41438390878762016,-0.011119076438066523,-0.006137986143430424,0.009415,0.17364008256693145,0.3628702744586112,0.2808021947636538
47,6,-1.0,101,5,95,0,4,0.439742,0.41438390878762016,-0.011119076438066523,-0.006137986143430424,0.009415,0.17364008256693145,0.36529745892463067,0.2808021947636538
48,1,-0.187275,100,45,55,10,35,0.439272,0.4137220934465808,-0.014307281829390079,-0.006137986143430424,0.009651,0.17126276006619592,0.36290475662314375,0.2787640908682945
49,2,0.728241,101,9,91,2,6,0.439528,0.4138854921393913,-0.014307281829390079,-0.006137986143430424,0.009489,0.17938201637687556,0.36727368866197874,0.27973496465470227
50,6,-0.50795,101,5,95,0,4,0.439528,0.4138854921393913,-0.01459318458164889,-0.0013971845734888954,0.009489,0.17938201637687556,0.36970087312799815,0.27973496465470227
51,1,-0.636115,100,29,71,6,22,0.43928,0.4135586947537704,-0.01627982348981579,-0.0013971845734888954,0.009489,0.1794408437231539,0.3710490266212815,0.280015167243699
52,6,0.626486,102,4,96,0,3,0.43928,0.4135586947537704,-0.01627982348981579,-0.0013971845734888954,0.009489,0.1794408437231539,0.37299077419409704,0.280015167243699
53,1,-0.545658,102,5,95,1,4,0.439167,0.41347699540736516,-0.01627982348981579,-0.0013971845734888954,0.009408,0.18368168255810532,0.3754179586601165,0.2805006041369029
54,1,0.695637,100,35,65,7,28,0.439508,0.4139671914857965,-0.01459318458164889,0.008984911035745193,0.009408,0.18423654679758752,0.37476378584154446,0.28116505656408736
55,5,0.700472,102,14,86,2,10,0.439566,0.41404889083220175,-0.01459318458164889,0.008984911035745193,0.009489,0.1960403424286555,0.38107446545319495,0.28213593035049517
56,2,-0.501704,102,14,86,3,10,0.439323,0.41380379279298607,-0.012787023339481684,0.008984911035745193,0.009246,0.20282552001765225,0.3868997081716415,0.2831068041369029
57,2,-0.672485,102,14,86,3,10,0.439085,0.4135586947537704,-0.012787023339481684,0.008984911035745193,0.009003,0.2117299692894969,0.3927249508900882,0.2840776779233107
58,2,-0.567316,102,18,82,4,13,0.438748,0.41323189736814947,-0.012787023339481684,0.008984911035745193,0.00868,0.2205008811017946,0.4004919411813503,0.2855339886029224
59,3,-0.447564,101,4,96,0,3,0.438748,0.41323189736814947,-0.012787023339481684,0.008984911035745193,0.00868,0.2205008811017946,0.39894921819140566,0.2855339886029224
60,1,0.256204,102,9,91,3,6,0.439066,0.41347699540736516,-0.012438947112872214,0.017465748562504352,0.008922,0.21670089420859073,0.3945802861525707,0.2840776779233107
61,6,-0.658887,101,5,95,0,4,0.439066,0.41347699540736516,-0.012438947112872214,0.017465748562504352,0.008922,0.21670089420859073,0.3970074706185901,0.2840776779233107
62,1,0.475191,100,48,52,10,38,0.439642,0.414130590178607,-0.00893748690195885,0.017465748562504352,0.009408,0.20870572257428657,0.3925976832399493,0.2822439879233107
63,6,0.756832,102,4,96,0,3,0.439642,0.414130590178607,-0.00893748690195885,0.017465748562504352,0.009408,0.20870572257428657,0.3945394308127649,0.2822439879233107
64,1,-0.831248,102,25,75,6,19,0.439229,0.41369828182414464,-0.00893748690195885,0.00842152461212117,0.009142,0.22016430170050014,0.3991730036282988,0.283547187697611
65,5,0.252382,100,31,69,5,24,0.439519,0.4141027685350155,-0.007405827011369283,0.00842152461212117,0.008903,0.21795213827007942,0.39729823030802436,0.2823129900389407
66,3,-0.265523,102,25,75,6,19,0.439017,0.4136125724565841,-0.011677151432918044,0.00842152461212117,0.008417,0.2257899598234775,0.4087810314574647,0.28522561139816405
67,5,-0.483788,100,31,69,5,24,0.438724,0.413204075724558,-0.013218580135068353,0.00842152461212117,0.00866,0.23014207932185937,0.41154996543804717,0.28665233639816406
68,3,-0.323572,102,33,67,7,26,0.438234,0.4126321802997214,-0.013218580135068353,0.00842152461212117,0.008094,0.23730485824580763,0.4248871023312511,0.28970540079945856
69,3,0.32042,102,29,71,7,22,0.4388,0.41318916913104203,-0.013548620474201713,0.00842152461212117,0.008645,0.22905829066220454,0.4117633178652317,0.2863393833237304
70,5,0.513191,102,19,81,3,14,0.438986,0.4133525678238525,-0.012676645508611747,0.009390054707275254,0.008807,0.23753670700524665,0.4206916989709785,0.28779569400334204
71,5,-0.296353,102,17,83,3,12,0.438689,0.4131074697846368,-0.013450792668498945,0.01291496626730431,0.008564,0.2319837094324311,0.4124392717865126,0.2863393833237304
72,4,1.0,102,12,88,2,7,0.438886,0.4132708684774473,-0.009699720557592587,0.01291496626730431,0.008726,0.24332525797612045,0.4182645145049591,0.28731025711013813
73,4,-0.379463,102,12,88,2,8,0.438689,0.4131074697846368,-0.013450792668498945,0.01291496626730431,0.008564,0.2390215550634991,0.4124392717865126,0.2863393833237304
74,3,-0.5106,102,28,72,7,21,0.438179,0.4125362602890422,-0.01572648258759802,0.01291496626730431,0.008159,0.24908383477223692,0.4221362824661241,0.2886222197314974
75,6,0.701696,102,4,96,0,3,0.438179,0.4125362602890422,-0.01572648258759802,0.01291496626730431,0.008159,0.24908383477223692,0.4240780300389397,0.2886222197314974
76,1,0.532072,102,9,91,3,6,0.438496,0.4127813583282579,-0.01572648258759802,0.018037923607362106,0.008402,0.24106305952951848,0.4197090980001047,0.2871659090518857
77,6,-0.649626,101,14,86,3,10,0.438291,0.4125362602890423,-0.01572648258759802,0.018037923607362106,0.008645,0.24358612522531137,0.4236036572234057,0.288058059213698
78,2,-0.493238,102,15,85,2,11,0.438052,0.41237286159623177,-0.01572648258759802,0.01635194653976618,0.008483,0.24680022517676767,0.42964102227194934,0.2885434961069019
79,3,0.675678,101,4,96,0,3,0.438052,0.41237286159623177,-0.01572648258759802,0.01635194653976618,0.008483,0.24680022517676767,0.4315827698447649,0.2885434961069019
80,2,-0.594383,102,15,85,2,11,0.437816,0.4122094629034213,-0.015991987080561303,0.015250544662309353,0.008321,0.2506157127495832,0.4371781960583571,0.2890289330001058
81,2,0.654778,101,13,87,3,9,0.438049,0.412454560942637,-0.015991987080561303,0.015250544662309353,0.008078,0.2599458185748259,0.4434888756700076,0.29048524367971745
82,2,0.641927,101,13,87,3,9,0.438285,0.4126996589818527,-0.01675730504114099,0.015250544662309353,0.007836,0.26940442973987444,0.4497995552816581,0.29194155435932906
83,2,0.44676,101,12,88,3,8,0.438527,0.41294475702106836,-0.017485064260496792,0.015250544662309353,0.007593,0.27684312391463173,0.4556247980001047,0.2933978650389407
84,3,-0.843759,102,13,87,4,9,0.438174,0.4126179596354475,-0.016702601237849654,0.015250544662309353,0.007269,0.2948014692220751,0.4612885841002035,0.29533961261175623
85,3,0.534399,101,4,96,0,3,0.438174,0.4126179596354475,-0.016702601237849654,0.015250544662309353,0.007269,0.2948014692220751,0.463230331673019,0.29533961261175623
86,1,-0.335785,102,18,82,5,13,0.437796,0.4122094629034213,-0.016702601237849654,0.004252396335623741,0.006865,0.3030391049825929,0.4708199180807861,0.29776679707777565
87,3,-0.50254,101,4,96,0,3,0.437796,0.4122094629034213,-0.016702601237849654,0.004252396335623741,0.006865,0.3030391049825929,0.46887817050797054,0.29776679707777565
88,1,-0.986199,102,20,80,5,15,0.437426,0.41180096617139517,-0.016702601237849654,0.004252396335623741,0.00646,0.3230364457188389,0.47594946003003363,0.30019398154379506
89,1,-0.277373,102,23,77,6,17,0.436983,0.41131077009296385,-0.019591263700323856,-0.005661757253869764,0.005975,0.3298709444567029,0.4837082630072331,0.30310580445641644
90,1,0.491119,101,9,91,0,6,0.436983,0.41131077009296385,-0.019261976435876474,-0.002692797177205844,0.005975,0.3298709444567029,0.488077195046068,0.30310580445641644
91,6,0.579901,101,5,95,0,4,0.436983,0.41131077009296385,-0.019261976435876474,-0.002692797177205844,0.005975,0.3298709444567029,0.4856500105800486,0.30310580445641644
92,1,-0.418651,100,47,53,9,37,0.436728,0.4109839727073429,-0.020571836086669855,-0.002692797177205844,0.005651,0.3306509666249877,0.4854101758911793,0.30396906465059126
93,3,-0.733726,101,4,96,0,3,0.436728,0.4109839727073429,-0.020571836086669855,-0.002692797177205844,0.005651,0.3306509666249877,0.48346842831836373,0.30396906465059126
94,1,-0.611716,102,12,88,4,8,0.436365,0.41065717532172197,-0.020571836086669855,-0.002692797177205844,0.005327,0.3420691494728842,0.4878373603571987,0.30591081222340677
95,4,0.494249,102,12,88,2,8,0.436557,0.4108205740145324,-0.020571836086669855,-0.002692797177205844,0.005489,0.3476746941330783,0.49123541860962594,0.3068816860098145
96,4,0.521182,102,12,88,2,8,0.436752,0.4109839727073429,-0.020571836086669855,-0.002692797177205844,0.005651,0.35358570578356374,0.49428796836363725,0.3078525597962223
97,4,0.662406,102,12,88,2,8,0.43695,0.41114737140015334,-0.015068258774564995,-0.002692797177205844,0.005813,0.3610984145214278,0.49717200891751845,0.3088234335826301
98,4,0.655318,102,12,88,2,8,0.437115,0.41131077009296385,-0.015068258774564995,-0.002692797177205844,0.005975,0.3685307329680298,0.4994620269198324,0.30979430736903785
99,4,0.763467,102,12,88,2,7,0.437282,0.4114741687857743,-0.015068258774564995,-0.002692797177205844,0.006137,0.3771896339389036,0.501403774492648,0.3107651811554456
100,4,0.818201,102,12,88,2,7,0.437452,0.4116375674785847,-0.01464285930772229,-0.0063096550463391556,0.006298,0.38646930481269004,0.5033455220654635,0.3117360549418533
101,4,-0.448917,102,11,89,1,7,0.437352,0.4115558681321795,-0.01464285930772229,-0.0063096550463391556,0.006217,0.38348868248259294,0.4980057162402207,0.31125061804864945
102,6,-0.757115,101,4,96,0,3,0.437352,0.4115558681321795,-0.01464285930772229,-0.0063096550463391556,0.006217,0.38348868248259294,0.4999474638130363,0.31125061804864945
103,1,0.574005,102,12,88,4,8,0.437721,0.4118826655178004,-0.01464285930772229,-0.0063096550463391556,0.006541,0.37328525141463165,0.4941222210945897,0.30930887047583394
104,4,0.424381,102,11,89,1,7,0.437823,0.4119643648642057,-0.011797438605063429,-0.0063096550463391556,0.006622,0.37610296112336955,0.4994620269198324,0.30979430736903785
105,4,-1.0,101,11,89,2,7,0.437574,0.4118009661713952,-0.011797438605063429,-0.0063096550463391556,0.006784,0.39165994510395213,0.5048018327450752,0.3107651811554456
106,4,-0.548255,101,11,89,2,7,0.437328,0.41163756747858476,-0.011797438605063429,-0.0063096550463391556,0.006946,0.39923776743404915,0.5101416385703178,0.3117360549418533
107,4,-0.567581,101,12,88,2,8,0.437084,0.41147416878577436,-0.011797438605063429,-0.0063096550463391556,0.007107,0.40619838539521425,0.5159668812887643,0.31270692872826117
108,4,0.87868,102,11,89,1,6,0.437176,0.4115464659755971,-0.011797438605063429,-0.0063096550463391556,0.007179,0.41203244753113666,0.5193649395411916,0.313192365621465
109,4,-0.46157,101,13,87,2,9,0.436935,0.4113830672827866,-0.011797438605063429,-0.0063096550463391556,0.007341,0.4173592095052467,0.525675619152842,0.3141632394078727
110,3,0.48949,101,9,91,2,6,0.437133,0.4115464659755971,-0.01141964469525412,-0.009180393066648938,0.007179,0.42279992261204274,0.530044551191677,0.3151341131942806
111,6,-0.515281,101,9,91,3,6,0.436855,0.4113013679363814,-0.01141964469525412,-0.009180393066648938,0.007422,0.4273963332916544,0.5335351453664343,0.31647799766029994
112,6,-0.636258,101,9,91,3,6,0.436581,0.4110562698971657,-0.010468887339738761,-0.009180393066648938,0.007664,0.43245416047612045,0.5369021705349583,0.3179094578544747
113,6,-0.389508,101,9,91,3,6,0.436311,0.41081117185795,-0.010468887339738761,-0.009180393066648938,0.007907,0.4351723226120427,0.5400032297582593,0.31916229571855237
114,6,-0.447174,101,9,91,3,6,0.436059,0.41058027638605216,-0.010468887339738761,-0.009180393066648938,0.008136,0.43785875659262524,0.5430016433504923,0.3203982025146689
115,6,-0.458854,101,4,96,0,3,0.436059,0.41058027638605216,-0.010468887339738761,-0.009180393066648938,0.008136,0.43785875659262524,0.5449433909233078,0.3203982025146689
116,2,-0.551383,102,13,87,4,9,0.435808,0.4102534790004312,-0.009683411403650465,-0.009180393066648938,0.007812,0.44883254178680004,0.5497977598553466,0.32233995008748445
117,2,-0.364207,101,11,89,3,7,0.435557,0.4100083809612155,-0.009683411403650465,-0.009180393066648938,0.008055,0.4421792408159263,0.544457954030104,0.32088363940787273
118,5,-1.0,101,13,87,3,9,0.435355,0.4097632829219998,-0.009683411403650465,-0.009180393066648938,0.008298,0.4552977828871237,0.5507686336417544,0.32233995008748445
119,4,-0.405089,101,12,88,2,8,0.435188,0.40959988422918936,-0.009683411403650465,-0.009180393066648938,0.008459,0.46048545327547313,0.5565938763602011,0.32331082387389215
120,4,0.521658,102,14,86,2,9,0.435353,0.4097632829219998,-0.01105209637363218,-0.008054485248185523,0.008621,0.4655623343434343,0.559271418443695,0.3242816976603
121,1,-0.921649,102,5,95,1,4,0.43524,0.4096815835755946,-0.01105209637363218,-0.005453935224030902,0.00854,0.46935701249877415,0.5607277291233067,0.32476713455350387
122,1,-0.670211,100,33,67,5,26,0.435174,0.4095161760019558,-0.01105209637363218,-0.001348127036948519,0.008542,0.4679069870861528,0.5582410398029183,0.32481097690787275
123,3,0.559488,102,24,76,5,18,0.435539,0.40992467273398203,-0.0076187008152778755,-0.001348127036948519,0.008947,0.45784947923825636,0.5470238465990348,0.32238379244185333
124,1,0.444296,101,9,91,0,6,0.435539,0.40992467273398203,-0.0076187008152778755,-0.001348127036948519,0.008947,0.45784947923825636,0.5513927786378698,0.32238379244185333
125,6,0.630457,101,4,96,0,3,0.435539,0.40992467273398203,-0.0076187008152778755,-0.001348127036948519,0.008947,0.45784947923825636,0.5494510310650542,0.32238379244185333
126,1,-0.928091,102,4,96,1,3,0.435447,0.4098429733875768,-0.0076187008152778755,-0.001348127036948519,0.008866,0.46254588312175154,0.550421904851462,0.3228692293350572
