,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,4,-1.0,101,77,23,20,54,0.411162,0.3897257160946703,-0.0017042885464853383,0.00117146556507804,-0.007468,-0.0379111368446602,0.285640491767792,0.2805923198152792
1,1,-1.0,102,72,28,20,49,0.409939,0.38840541154947456,-0.006409809795861522,0.00117146556507804,-0.007131,-0.06198021259593158,0.2888650129230712,0.27853912392449265
2,6,1.0,102,57,43,15,41,0.410718,0.38938580370633735,-0.006409809795861522,0.00117146556507804,-0.00697,-0.05684982699722608,0.2962675845994152,0.28096682375790827
3,6,0.0,100,83,17,23,58,0.410718,0.38938580370633735,-0.006409809795861522,0.00117146556507804,-0.00697,-0.05684982699722608,0.2962675845994152,0.28096682375790827
4,1,0.43025,102,72,28,20,49,0.411942,0.39069863593778476,-0.0017042885464853383,0.00117146556507804,-0.007299,-0.04694147392279241,0.29351443023048324,0.2830767000524067
5,6,0.607849,102,57,43,15,41,0.412747,0.39167902809464744,-0.002619692077389714,0.00117146556507804,-0.007137,-0.043798384845122516,0.30028682203728735,0.28480410838573994
6,6,0.0,100,83,17,23,58,0.412747,0.39167902809464744,-0.002619692077389714,0.00117146556507804,-0.007137,-0.043798384845122516,0.30028682203728735,0.28480410838573994
7,2,-1.0,102,57,43,15,41,0.411767,0.3905655595631423,-0.0017042885464853383,0.00117146556507804,-0.007005,-0.04722647546000926,0.3081128391737525,0.2851497381592028
8,6,-0.563797,100,83,17,23,58,0.410317,0.3888498732886325,-0.006409809795861522,0.00013700165647448565,-0.006762,-0.047874805605640315,0.3077188886883156,0.28563569862845845
9,2,0.288262,102,73,27,21,50,0.411594,0.390282139331511,0.007185982983313883,0.00013700165647448565,-0.006806,-0.0438772803305594,0.30719658478420286,0.28831962553658946
10,4,1.0,102,90,10,22,64,0.412567,0.3914259301811842,0.010808809267716383,-0.0027876773020976088,-0.006806,-0.07457961801006437,0.3127541410948825,0.2856294345283744
11,3,1.0,101,91,9,23,65,0.414061,0.3931572575212873,0.015748379232984163,-0.0027876773020976088,-0.006625,-0.09283916114922293,0.31274568284245524,0.2840879038734506
12,3,0.349767,101,87,13,24,61,0.415333,0.39451675930860564,0.003910641618573586,-0.0027876773020976088,-0.006402,-0.10183029033553823,0.3129873032308047,0.28237323670782466
13,4,0.835642,102,88,12,20,62,0.416405,0.3958035814019789,-0.0006916103030048618,-0.0027876773020976088,-0.006151,-0.11732740273018243,0.31935207895896006,0.2829633180371749
14,5,-1.0,101,91,9,21,65,0.415173,0.39443394047457797,-0.0002346409771689604,-0.0027876773020976088,-0.006375,-0.13614611408555308,0.3157888323963943,0.2776266812974395
15,3,0.585105,101,90,10,22,64,0.416385,0.39564895734831373,-0.0002346409771689604,-0.0027876773020976088,-0.005999,-0.1551735413370556,0.31536401869001646,0.2765252325267431
16,3,0.426865,101,89,11,23,63,0.41762,0.39702421591504256,-0.005741472354932195,-0.0027876773020976088,-0.005743,-0.15510156319863258,0.32362148397705826,0.27647819655506617
17,5,1.0,102,88,12,23,62,0.418402,0.39782167379713107,-0.009356494187968554,-0.0027876773020976088,-0.005624,-0.1732829260950727,0.33029489527437617,0.27460198373953226
18,6,-1.0,101,92,8,19,66,0.417316,0.3966486159644663,-0.004436896484270804,-0.0027876773020976088,-0.005653,-0.2060393856339076,0.3293368244005897,0.27208265399205195
19,3,0.799965,101,80,20,20,56,0.418307,0.39775432081313283,-0.004436896484270804,-0.0027876773020976088,-0.005454,-0.21943098370834127,0.3374900714545044,0.27095120371525144
20,6,0.526942,102,90,10,22,64,0.419222,0.3986530136235903,0.003281461007408522,0.007087306335233773,-0.005535,-0.23531455733671938,0.33845347242537815,0.2696953776987804
21,3,0.569368,101,88,12,23,62,0.420454,0.40011746098955747,0.003281461007408522,0.007087306335233773,-0.005578,-0.2575697005244217,0.3402605267943101,0.2653600648406742
22,6,-0.511208,101,92,8,23,66,0.419293,0.39895027173309905,0.002885046369071306,0.007087306335233773,-0.00581,-0.27089776560301615,0.3501212064519981,0.26161872441219247
23,3,0.570249,101,88,12,21,62,0.420569,0.40042414150845407,0.0020111760020679018,0.007087306335233773,-0.005813,-0.2764434419298771,0.36092707301364857,0.25925032689922267
24,6,-0.64989,101,88,12,19,62,0.419488,0.3993363365692248,0.007310298388115003,0.007087306335233773,-0.005619,-0.2922567355544725,0.37222128872283383,0.2554524609445301
25,6,-0.536493,101,96,4,25,67,0.418239,0.3979538565745177,0.010664155644242928,0.007087306335233773,-0.005694,-0.3146081725008432,0.38438685868742123,0.25165932536040597
26,6,0.715694,102,90,10,22,64,0.419292,0.3989342487313804,0.004328658662150297,0.007087306335233773,-0.005856,-0.3366893976611846,0.3862857130563532,0.24986651569223323
27,3,-0.457074,101,87,13,22,61,0.418222,0.39778876848301425,0.004328658662150297,0.007087306335233773,-0.006178,-0.3310858284055212,0.3856333829592658,0.25388235433301
28,4,0.713798,102,87,13,21,61,0.41945,0.3991819591966387,0.0007760340442761246,0.007087306335233773,-0.006093,-0.3519979842978004,0.38976957616314933,0.2503920588267686
29,4,0.618635,102,87,13,24,61,0.420897,0.4007514629903792,0.0007760340442761246,0.007087306335233773,-0.00586,-0.36805582670880366,0.395254082959266,0.24776348253397884
30,4,0.679294,102,87,13,21,61,0.42182,0.4018135544936472,-0.009483271903927027,0.007250106356710048,-0.006102,-0.38383929218615,0.39787598101751825,0.24486885952427012
31,4,0.44658,102,82,18,21,58,0.42266,0.4027816936111347,-0.009483271903927027,0.007250106356710048,-0.006114,-0.3972394263146751,0.4036819742214017,0.24269293502956882
32,6,-0.516236,100,90,10,21,64,0.421668,0.4017196021078667,-0.009483271903927027,0.007250106356710048,-0.006519,-0.4044780214603062,0.4030837548039261,0.24178285420432605
33,4,0.408438,101,89,11,22,63,0.422782,0.4029302433696586,-0.016636951675780876,0.007250106356710048,-0.006423,-0.40151783395221563,0.40360348490101333,0.2451287033952646
34,5,0.343769,102,93,7,20,67,0.423676,0.4039031117351729,-0.01753205888724969,0.0062147093291664455,-0.006271,-0.41449409486885563,0.40863775738439223,0.24292998574596988
35,2,0.0,100,89,11,22,63,0.423676,0.4039031117351729,-0.01753205888724969,0.0062147093291664455,-0.006271,-0.41449409486885563,0.40863775738439223,0.24292998574596988
36,5,0.377603,102,91,9,20,65,0.424528,0.4047970668337037,-0.023224237636472488,0.0062147093291664455,-0.006195,-0.42788362387178375,0.41462597291837283,0.23979372462302873
37,3,0.321494,101,91,9,21,65,0.425747,0.40628380473254533,-0.022561584861904332,0.0062147093291664455,-0.005709,-0.4393726001015571,0.41398506709313015,0.23626187858743
38,3,-0.679852,101,90,10,22,64,0.424487,0.4047813823894475,-0.01993821032840984,0.0062147093291664455,-0.006163,-0.41692778545754416,0.4146151700057514,0.2412179493918194
39,2,1.0,101,96,4,22,67,0.425448,0.4058555691860795,-0.01927558769299307,0.0062147093291664455,-0.006225,-0.4369395331621212,0.4168647593261399,0.24003508296840462
40,6,0.401425,102,89,11,18,63,0.42616,0.40664951376663994,-0.019784158111464386,0.004938920951255328,-0.006202,-0.4445010368614585,0.4201938461783236,0.23902894074695288
41,5,0.318806,102,88,12,24,62,0.427166,0.40771968377479745,-0.019784158111464386,0.004938920951255328,-0.006474,-0.4552822793371866,0.42376125297444023,0.2362980334804739
42,6,-0.419628,101,97,3,25,68,0.425924,0.40642296763852337,-0.016588613323128734,0.004938920951255328,-0.007132,-0.47156505671582727,0.4243317141394887,0.23402883199180077
43,3,-1.0,102,84,16,23,59,0.42456,0.40495237940322926,-0.01582886095865279,0.004938920951255328,-0.006808,-0.49501540331776905,0.4301382306443432,0.23451758182998847
44,3,0.0,100,89,11,23,63,0.42456,0.40495237940322926,-0.01582886095865279,0.004938920951255328,-0.006808,-0.49501540331776905,0.4301382306443432,0.23451758182998847
45,5,-0.443601,102,88,12,24,62,0.423455,0.4036868829347596,-0.01582886095865279,0.004938920951255328,-0.006526,-0.48200520626275295,0.42690877142104217,0.23941719687853213
46,6,-0.791396,101,97,3,25,68,0.422224,0.40237969339227597,-0.001818691110741261,0.004938920951255328,-0.007173,-0.5112089927028824,0.42818559860550814,0.23813520050040513
47,3,-0.628391,102,84,16,23,59,0.421098,0.40115420319619755,0.0007167268663243976,0.004938920951255328,-0.006607,-0.5257863738841122,0.4316940277317218,0.23603390860502413
48,3,0.0,100,89,11,23,63,0.421098,0.40115420319619755,0.0007167268663243976,0.004938920951255328,-0.006607,-0.5257863738841122,0.4316940277317218,0.23603390860502413
49,5,0.709721,102,88,12,24,62,0.422216,0.4024436997687415,-0.001818691110741261,0.004938920951255328,-0.006913,-0.5458740313112967,0.4354359665666732,0.23266751928463578
50,6,0.644009,101,90,10,19,64,0.423072,0.403381645451707,-0.0007182790035075952,0.007881623105868023,-0.00661,-0.5331946947410869,0.43448409009354827,0.23559643067622152
51,2,0.819591,101,97,3,24,68,0.424046,0.40452543630138027,-0.005992749709529997,0.007881623105868023,-0.006286,-0.5618653098774715,0.4366591697051987,0.23252763803868107
52,2,-0.817477,102,84,16,21,59,0.422825,0.40330291914861083,-0.009937716706048065,0.007881623105868023,-0.00637,-0.5771345215071525,0.4417434124236453,0.23154351498042866
53,3,-0.524481,100,88,12,21,62,0.421684,0.4020033043305119,-0.007357915596506023,0.007881623105868023,-0.006298,-0.5923372798693809,0.4439086957982979,0.23107546255324418
54,6,-0.770056,101,90,10,19,64,0.42081,0.4010229121736491,-0.007357915596506023,0.007881623105868023,-0.006622,-0.6081974686101871,0.4452393812351912,0.22909234093512115
55,3,0.423999,101,89,11,23,63,0.42187,0.40215237456165165,-0.007357915596506023,0.007881623105868023,-0.006193,-0.6237511869885966,0.4408775288080068,0.2266115501260597
56,5,0.616162,102,93,7,19,67,0.422934,0.4033187653390407,-0.01371623656993673,0.007881623105868023,-0.00617,-0.6501154439654034,0.4432975530798514,0.22171762032023448
57,2,0.0,100,89,11,20,63,0.422934,0.4033187653390407,-0.01371623656993673,0.007881623105868023,-0.00617,-0.6501154439654034,0.4432975530798514,0.22171762032023448
58,5,0.510377,102,89,11,23,63,0.424015,0.4045442555351192,-0.008414363877694493,0.007881623105868023,-0.006089,-0.6791321100830642,0.4462215408717049,0.21924218786068758
59,5,-0.53093,102,82,18,19,58,0.423182,0.403663300872439,-0.008834456583783151,0.007881623105868023,-0.00635,-0.6641604286510253,0.43998639232801573,0.22212715754236687
60,6,-0.441814,100,85,15,22,59,0.422288,0.402744701800267,-0.003517665823708656,0.007211173313963723,-0.006411,-0.6708439275021579,0.4392140379590837,0.22210419063298176
61,3,0.678997,101,97,3,22,68,0.423252,0.40387467299650626,-0.004393063583815042,0.007211173313963723,-0.006247,-0.692676336346356,0.4369249331047147,0.21851802438702708
62,3,-0.605924,102,88,12,19,62,0.422033,0.4025674834540226,-0.003517665823708656,0.007211173313963723,-0.006085,-0.7128646093213906,0.4428680350464624,0.21554751613459988
63,6,-0.539469,101,89,11,21,63,0.421301,0.4017061560247646,-0.002228136169947088,0.007211173313963723,-0.006522,-0.7335951849443678,0.44361492145422926,0.21145481319372794
64,5,0.770666,102,89,11,19,63,0.422439,0.40293164622084304,0.0013656917199338292,0.007211173313963723,-0.006602,-0.7697854051760618,0.4478834182279868,0.20952800674613026
65,5,0.689916,102,87,13,19,61,0.423318,0.4039120383777058,0.004157503322117135,0.007211173313963723,-0.006279,-0.7879774705204907,0.4540041580338119,0.2074813717187237
66,4,0.435034,102,82,18,16,58,0.424005,0.40456563314894756,0.0019972566863413056,0.008305688592557864,-0.006117,-0.7978287189890529,0.4615947842474041,0.20804915689310294
67,6,-0.261855,100,85,15,22,59,0.423222,0.4037361411906747,0.0019972566863413056,0.008305688592557864,-0.006266,-0.8019590685197973,0.46056484735420034,0.20893306669212525
68,4,-0.75493,101,88,12,21,62,0.422104,0.40255077927757327,0.004542441988907449,0.008305688592557864,-0.006225,-0.8282732609146194,0.46263399492701585,0.20908341136976205
69,6,0.706522,101,91,9,20,65,0.422866,0.40342322729769764,0.003414030967360616,0.007211173313963723,-0.005866,-0.8195604114405095,0.4592991153153654,0.2116876835542281
