,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,6,1.0,102,49,51,10,39,0.423685,0.3998908560005688,-0.01822171177811682,-0.0054884742041713085,0.00257,-0.029575727621359228,0.27884058441815335,0.273319466733771
1,3,1.0,101,57,43,9,47,0.424406,0.4006153657874634,-0.01822171177811682,-0.0054884742041713085,0.002823,-0.03873720522653722,0.2802283327478871,0.27207886744574517
2,3,0.616837,101,57,43,9,47,0.425099,0.40130083417065454,-0.016857477688632487,-0.0054884742041713085,0.003091,-0.044575493203883494,0.2821134780224072,0.2709416166043212
3,3,-0.356156,101,57,43,9,47,0.424445,0.4006633628300805,-0.01822171177811682,-0.0054884742041713085,0.002834,-0.04110274057443366,0.28213745569231014,0.2722044808438034
4,3,-0.348682,101,57,43,9,47,0.423802,0.40002726756100887,-0.01822171177811682,-0.0054884742041713085,0.002576,-0.03778722520226537,0.2821914916146402,0.27347140495383576
5,3,0.51325,101,57,43,9,47,0.42447,0.4006936633718342,-0.016739634303373694,-0.0054884742041713085,0.002841,-0.04254404415857606,0.2826251003525043,0.2722938662159717
6,3,0.652428,101,57,43,9,47,0.42517,0.4013856849150206,-0.016857477688632487,-0.0054884742041713085,0.003111,-0.04876585266990291,0.2831883565062986,0.27114701579525974
7,3,-0.742799,101,57,43,9,47,0.424458,0.40067941458424783,-0.016739634303373694,-0.0054884742041713085,0.002839,-0.04146552411003236,0.28261225165192966,0.272318241523415
8,3,0.649823,101,57,43,9,47,0.425157,0.401370956429565,-0.016857477688632487,-0.0054884742041713085,0.003109,-0.04765492281553397,0.28313816427328886,0.2711720937887872
9,3,-0.440313,101,57,43,9,47,0.424489,0.4007179899791101,-0.016739634303373694,-0.0054884742041713085,0.002848,-0.04333278287216828,0.2828881419431918,0.272389247931182
10,3,0.448667,101,62,38,10,52,0.42503,0.40127184188926623,-0.019101670179990274,0.006212671654642643,0.002797,-0.04767691241909385,0.2810027671859102,0.27172963838425646
11,2,0.0,100,77,23,12,65,0.42503,0.40127184188926623,-0.019101670179990274,0.006212671654642643,0.002797,-0.04767691241909385,0.2810027671859102,0.27172963838425646
12,3,0.0,100,77,23,12,65,0.42503,0.40127184188926623,-0.019101670179990274,0.006212671654642643,0.002797,-0.04767691241909385,0.2810027671859102,0.27172963838425646
13,3,0.0,100,77,23,12,65,0.42503,0.40127184188926623,-0.019101670179990274,0.006212671654642643,0.002797,-0.04767691241909385,0.2810027671859102,0.27172963838425646
14,3,-0.31222,100,77,23,12,65,0.424118,0.40029144973240344,-0.019101670179990274,0.006212671654642643,0.002797,-0.048686394239482206,0.28264157618598174,0.2731500032952597
15,3,0.426865,100,77,23,12,65,0.42503,0.40127184188926623,-0.019101670179990274,0.006212671654642643,0.002797,-0.047321777475728154,0.2815828548267584,0.2720196836350655
16,3,-0.462295,100,77,23,12,65,0.424118,0.40029144973240344,-0.019101670179990274,0.006212671654642643,0.002797,-0.048816490266990295,0.2821809101665642,0.2732147491690461
17,3,-0.619779,100,77,23,12,65,0.423224,0.39931105757554075,-0.018997808835996253,0.006212671654642643,0.002797,-0.05079782091423948,0.2858989221887117,0.2753809328855782
18,3,0.362195,100,77,23,12,65,0.424118,0.40029144973240344,-0.019101670179990274,0.006212671654642643,0.002797,-0.049653130962783176,0.28426939306249815,0.27436284327392774
19,3,0.452003,100,77,23,12,65,0.42503,0.40127184188926623,-0.019101670179990274,0.006212671654642643,0.002797,-0.048208152694174757,0.2832349454896826,0.2731945477399471
20,3,0.062147,100,70,30,12,58,0.425401,0.4016650780606067,-0.019269574749009765,0.023127929435211032,0.002763,-0.048917776174294963,0.2810172844066485,0.2725666872527936
21,5,1.0,102,61,39,10,51,0.42588,0.4022279846210542,-0.019269574749009765,0.02779859133822865,0.00253,-0.053435689766527975,0.2855000436299496,0.27171721118839437
22,1,1.0,101,60,40,10,50,0.426094,0.40247308266026993,-0.019269574749009765,0.02779859133822865,0.002772,-0.07473382218292494,0.2872041931445127,0.26889040856127217
23,4,1.0,102,61,39,10,51,0.426549,0.4030014836804926,-0.019269574749009765,0.02779859133822865,0.002573,-0.07072037169748806,0.29284280188237677,0.2698612823476799
24,1,0.286658,101,60,40,10,50,0.426758,0.40323216197710554,-0.017401922102517692,0.02779859133822865,0.002801,-0.07691842626868547,0.29437287775212495,0.26785539074169984
25,4,-0.75493,102,61,39,10,51,0.426313,0.40271312395928016,-0.017401922102517692,0.02779859133822865,0.002991,-0.0799177591165819,0.28974675804825656,0.26688451695529214
26,1,-0.464318,101,60,40,10,50,0.426091,0.4024680259200645,-0.019269574749009765,0.02779859133822865,0.002749,-0.06973475601517953,0.289073396883208,0.26964819413975816
27,4,0.507365,102,61,39,10,51,0.426528,0.4029776057815748,-0.019269574749009765,0.02779859133822865,0.002568,-0.06769847167051934,0.2952529755239847,0.2706513802239005
28,2,1.0,101,60,40,10,50,0.426749,0.40322270382079056,-0.017401922102517692,0.02779859133822865,0.00281,-0.08665454905725073,0.2964580046501983,0.2686125303452598
29,4,0.722139,102,61,39,10,51,0.427206,0.4037404890979421,-0.01605788553545987,0.02779859133822865,0.002621,-0.08378549222068116,0.30306669199240616,0.26958340413166754
30,2,-0.623533,101,80,20,13,67,0.426358,0.4028417962874845,-0.016354004665629883,0.03578637281108512,0.002864,-0.07478517487440284,0.3002817997593964,0.27243644125379823
31,1,0.271997,101,80,20,13,67,0.427022,0.40358829816541575,-0.016354004665629883,0.03578637281108512,0.002539,-0.0788569223027431,0.3019855657788139,0.26998762321172703
