,Unnamed: 0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,privacy,activity,satisfaction,lat_acc,lat_rej,id,pol_inclination
0,0,-1.0,0.34999999999999964,-0.8999999999999999,-0.34999999999999964,-0.7999999999999998,-0.7499999999999998,1.0,1.0,-91.06216350976187,0.9981809900029286,1.0018190099970714,0,-0.05833333333333316
1,1,-0.95,-0.7053322876641728,-1.0,-1.0,-0.6499999999999997,-0.5499999999999996,0.25,1.0,-151.92345609111072,0.9976423149136165,1.0023576850863873,1,0.07588871461069562
2,2,-1.0,-0.95,-1.0,0.14713807516081473,0.7007403559535964,0.15000000000000033,1.0,0.0,-207.56702717214338,0.8297618779982485,1.1702381220017493,2,0.6579797385190687
3,3,0.4017566906135327,0.16631953600098842,-0.24999999999999967,-1.0,-1.0,-0.95,0.0,1.0,-141.56385189984155,0.986038080087943,1.013961919912056,3,-0.5446793711024203
4,4,-1.0,-0.40283627968610236,-0.7999999999999998,-0.1499999999999997,0.2822940572078912,-0.7999999999999998,1.0,0.5468723999999996,-126.88029354000005,0.9787421930808861,1.0212578069191187,4,0.255855056148999
5,5,0.4192383993501904,0.6900877638916443,0.4120129430702383,0.4394744499672162,-0.23881988189442338,-0.6292524566722043,1.0,1.0,-9.931068338095201,0.7912754995100689,1.2087245004899314,5,-0.3249894991519141
6,6,-0.95,-0.8499999999999999,-1.0,0.5024548598175541,-0.26488293908686367,-0.4999999999999996,0.8508479999999998,1.0,-127.52907053321401,0.9964451178567738,1.0035548821432265,6,0.4229286534551151
7,7,-0.5412568525747051,-0.8394680892707269,-0.29507475911704173,-0.95,-0.11138115418613069,-0.39999999999999963,0.5999999999999996,1.0,-179.73451208150848,0.9970922497961798,1.0029077502038197,7,0.035736424462723924
8,8,0.6773835626520545,-0.95,-0.06126476768538952,0.04371827299187159,0.14044977592587862,-1.0,1.0,0.0,-110.23911140333338,0.8794814765336503,1.1205185234663544,8,-0.0803251243414858
9,9,-0.7999999999999998,-1.0,-0.19999999999999968,-0.5999999999999996,-0.7897704442727969,-0.8499999999999999,0.8167378999999997,1.0,-102.85427628166653,0.9996949526107679,1.0003050473892305,9,-0.0399617407121328
10,10,0.29503117700823955,-0.6197448818779537,-1.0,-1.0,-0.5331841482464086,-0.39999999999999963,0.0,1.0,-147.01713788047604,0.9949863683718005,1.0050136316281937,10,-0.10141174056278235
11,11,-0.38223690785353565,-0.6384005035462429,-1.0,0.2782840216765532,-1.0,-0.7999999999999998,0.5999999999999996,1.0,-162.12759683380958,0.9958710994285933,1.0041289005714025,11,0.08315357217938864
12,12,-0.6484511862794566,-1.0,-0.9068725766195982,-1.0,-0.4000946039039943,-0.7999999999999998,0.5499999999999999,1.0,-86.42156449309527,0.9993777577771596,1.000622242222842,12,0.05920485983251004
13,13,-0.2650779178732235,0.13235065577056793,-0.3303360245625189,-0.1499999999999997,-1.0,-0.8999999999999999,0.5805777,1.0,-143.92937043130968,0.995528612115145,1.0044713878848541,13,-0.2644894522224709
14,14,0.4221462663191671,-1.0,-0.95,-0.4999999999999996,-0.7186903261787272,-0.24999999999999967,0.3320902999999996,1.0,-176.2901135854758,0.9977048455195133,1.0022951544804855,14,0.009860567917017763
15,15,-0.2101379363766927,0.30360467240479655,-0.6169601123132448,0.3307518335978645,-0.4282352345142034,-0.36394155913585274,0.5538564,1.0,-78.22013543333314,0.9981397654408841,1.001860234559114,15,0.010344736038824872
16,16,-0.35939627032193106,-0.5999999999999996,-0.8999999999999999,0.5500000000000004,-1.0,-0.5499999999999996,0.0,1.0,-98.51676014892868,0.9978216884265633,1.0021783115734388,16,0.1432327117203219
17,17,-1.0,-1.0,-0.8499999999999999,-0.8499999999999999,-0.6499999999999997,-0.95,0.35,1.0,-197.47151777095212,0.9963755173969071,1.003624482603095,17,0.06666666666666672
18,18,0.598105021345207,0.030531524157789897,-0.3500000000000003,-1.0,-0.95,-0.7245319563821714,0.95,1.0,-102.7363396378569,0.9861788329651627,1.0138211670348363,18,-0.49219475031419463
19,19,-0.95,-1.0,-0.8911633888591948,-1.0,-0.21616612155777828,-0.7499999999999998,0.5346677,1.0,-168.95597866575375,0.9973152996575074,1.0026847003424912,19,0.14583287788356938
20,20,-0.2300260136267126,-1.0,-0.95,-0.8999999999999999,-0.34999999999999964,-0.049999999999999684,0.44999999999999996,1.0,-114.58852970499996,0.9964571767969672,1.0035428232030341,20,0.14667100227111896
21,21,0.03308624964165502,-0.8127044970503082,-1.0,-0.4999999999999996,-0.24852599165375006,-0.28581949651050653,0.95,1.0,-71.32467452341255,0.9995492127010066,1.0004507872989912,21,0.12421212654073284
22,22,-0.95,-0.6853208118594788,-0.95,0.6000000000000004,0.25000000000000033,-0.5999999999999996,1.0,0.0,-83.503568100476,0.899412892966258,1.1005871070337403,22,0.4725534686432466
23,23,0.028467505846964752,0.9088457739154591,-0.31766122095626714,-0.8999999999999999,-0.09020805830456972,-0.8499999999999999,1.0,1.0,-60.344764676904695,0.9998029437081881,1.0001970562918128,23,-0.40997668618512106
24,24,-0.3718676119387118,0.05000000000000035,-0.95,-0.6834212522529461,-0.95,-0.4499999999999996,0.27445800000000004,1.0,-163.07067067738083,0.9926966323365073,1.007303367663497,24,-0.13525894005237235
25,25,0.5573735533156018,1.0,0.6918702046963543,0.04115417484437687,-0.2165983478565698,-0.5499999999999996,0.8773949999999999,1.0,-27.05972242595231,0.9981996623662455,1.0018003376337579,25,-0.4957813218373581
26,26,-1.0,-0.39999999999999963,-0.95,-0.7999999999999998,-0.049999999999999656,-0.5499999999999996,0.6999999999999997,1.0,-163.32051025130897,0.9844012193749945,1.015598780625009,26,0.15833333333333344
27,27,-0.7999999999999998,-1.0,0.3977527252172248,0.7500000000000006,-0.6499999999999997,-0.5488760459156763,0.6499999999999997,1.0,-143.44832662853193,0.9921532998801958,1.0078467001198055,27,0.15889520481118327
