,Unnamed: 0,Unnamed: 0.1,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,privacy,activity,satisfaction,lat_acc,lat_rej,id,pol_inclination
0,0.0,0.0,0.23771301842018025,-0.3923333075454467,-0.3421997226981884,-0.553469960676573,-0.4307877938514575,-0.607652312064874,0.5652642666666666,0.3333333333333333,-99.38504705303568,0.7353345716674943,1.2646654283325072,0.0,-0.18251500912824162
1,1.0,1.0,-0.40654068824637707,-0.6738529296042137,-0.642481195421199,-0.36278720520408503,-0.5224416999102331,-0.49227316994249654,0.37154485,0.40833333333333327,-105.76905288833352,0.7075074044760002,1.2924925955239985,1.0,0.05756212303582916
2,2.0,2.0,-0.20554738845578532,-0.6574575435129458,-0.5173364286247408,-0.3524900715717452,-0.37958484406603904,-0.2735074508586021,0.5453224999999998,0.5833268333333332,-97.79085103820107,0.8168809285168193,1.1831190714831787,2.0,0.06245983234951428
3,3.0,3.0,-0.0780426572664699,-0.5059683319811805,-0.45223718477994007,-0.47392023149938417,-0.34503648185762464,-0.5641722679913778,0.43797656666666657,0.425,-115.59620917758309,0.6786640155154572,1.321335984484542,3.0,-0.05781346788679939
4,4.0,4.0,-0.4566592451790441,-0.8096599225443016,-0.5058014046273511,-0.8247121909958409,-0.5655693982224738,-0.7781988563050998,0.16771210833333328,0.4666666666666666,-102.87913377968249,0.753775856017667,1.246224143982332,4.0,-0.06605997886211956
5,5.0,5.0,-0.3879405527861744,-0.5092846036999763,-0.39411160493497555,-0.5476577765779586,-0.35187565107786095,-0.6739873604850891,0.18204856666666658,0.2666666666666666,-96.89677402291669,0.752101219409944,1.2478987805900557,5.0,-0.04703067111996368
6,6.0,6.0,-0.4888621753923273,-0.4361265908134389,-0.6918280135836449,-0.48066688292569876,-0.5560031445493601,-0.7870611435831538,0.3911729555555556,0.5757696,-143.76744064035728,0.7145150240893168,1.2854849759106823,6.0,-0.03448573187813354
7,7.0,7.0,-0.5546594883299716,-0.6803342131773275,-0.49097177544737497,-0.4179283896546982,-0.34172564046202564,-0.6845412529989311,0.21396441666666657,0.5,-118.39168865388224,0.7561186631317925,1.243881336868208,7.0,0.046961698973169846
8,8.0,8.0,-0.21890934063260836,-0.533057460143383,-0.3633297671976672,-0.4608272409144467,-0.3546888356924009,-0.5754371362374878,0.3372625499999999,0.24999999999999992,-133.34302626515228,0.7221481300184162,1.2778518699815835,8.0,-0.04594277414511285
9,9.0,9.0,-0.3733736258308901,-0.36197916967438637,-0.2298044699024535,-0.3999058728056702,-0.6314410699063219,-0.38332820122941696,0.14166666666666658,0.25524279999999994,-104.16730713519831,0.7301054488492724,1.269894551150726,9.0,-0.07491964642227979
10,10.0,10.0,-0.02013920744225428,-0.45885521432111015,-0.5511231589533097,-0.5826061724282289,-0.22037507856323935,-0.4591966500640508,0.38326358333333316,0.6531313333333334,-94.77852386429889,0.8817452180699648,1.118254781930036,10.0,-0.03867672005647415
11,11.0,11.0,-0.01497243300451804,-0.16923344533655263,-0.02373696921142211,-0.40280432089953244,-0.4883808401629699,-0.31378178279270436,0.24763536666666663,0.4499999999999999,-101.59500569150786,0.7355259072832802,1.26447409271672,11.0,-0.166170682717119
12,12.0,12.0,-0.17298313899238513,-0.6800109663284165,-0.29358192494974295,-0.1679121545869803,-0.6032441106162921,-0.4372664122692839,0.4057830083333333,0.3170265333333332,-127.5344264733806,0.7577268940662542,1.242273105933746,12.0,-0.010307774533668662
13,13.0,13.0,-0.13028527989317543,-0.5876558748524648,-0.5189577232915146,-0.6416666666666665,-0.7032720673799314,-0.6722058979805304,0.2916666666666667,0.4166666666666666,-114.62945009123008,0.8415984377891444,1.1584015622108552,13.0,-0.13004095899832888
14,14.0,14.0,-0.43046764297861634,-0.7055244595035361,-0.28202369432176333,-0.06552396449204662,-0.5111699380207285,-0.3811825325409656,0.44363224999999984,0.425,-94.80373025443778,0.7662204808531317,1.233779519146867,14.0,0.0766898936250291
15,15.0,15.0,-0.3973881000755706,-0.4052943183794467,-0.3499383773088709,0.055207558562564464,-0.6104921688674,-0.5525167830656305,0.5333333333333333,0.14166666666666664,-127.31602044709659,0.43475937646964513,1.565240623530354,15.0,0.007469900398903701
16,16.0,16.0,-0.2742569202213735,-0.0774682425647586,-0.5621664198625692,-0.432558251767291,-0.8554528162566725,-0.7036761920696826,0.4499999999999999,0.5,-103.73882525789683,0.6924828234487171,1.3075171765512843,16.0,-0.17963261290749077
17,17.0,17.0,-0.40400361717099637,-0.6170160729593593,-0.6514696572242812,-0.8717463229325423,-0.6944221587290779,-0.33423668275676627,0.2639263499999999,0.4833333333333332,-102.54113206821428,0.7203182469459314,1.2796817530540678,17.0,-0.037985969510624926
