,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,2,0.499658,101,2,98,0,2,0.413642,0.39151078231616354,-0.035404745605084005,-0.08677889563205196,-0.006068,0.0,0.2917933805431812,0.2908225067567734
1,6,0.583497,100,10,90,1,7,0.413617,0.3914290829697583,-0.035404745605084005,-0.08677889563205196,-0.005987,0.000824304854368932,0.2929785306291457,0.2913079436499773
2,3,-0.680786,100,36,64,10,25,0.413069,0.3907754881985165,-0.035404745605084005,-0.08677889563205196,-0.006635,0.01825313859223301,0.3012409126779714,0.295139727145123
3,1,-0.613649,102,2,98,0,2,0.413069,0.3907754881985165,-0.035404745605084005,-0.08677889563205196,-0.006635,0.01825313859223301,0.3022117864643792,0.295139727145123
4,5,-0.6061,100,29,71,8,21,0.412729,0.39044546634643035,-0.033051975750681827,-0.08677889563205196,-0.006208,0.03404432597087379,0.3073871029692335,0.2975994876629223
5,3,0.549227,100,36,64,10,25,0.413277,0.3910990611176722,-0.033051975750681827,-0.08677889563205196,-0.005561,0.02078337249190939,0.2999621729133883,0.29398482698331063
6,1,-0.503934,102,2,98,0,2,0.413277,0.3910990611176722,-0.033051975750681827,-0.08677889563205196,-0.005561,0.02078337249190939,0.300933046699796,0.29398482698331063
7,5,0.513339,100,36,64,10,25,0.413785,0.3917121003697749,-0.0361234393974097,-0.08677889563205196,-0.00552,0.02262283087378641,0.2997877379619319,0.29454740416777664
8,1,1.0,102,2,98,0,2,0.413785,0.3917121003697749,-0.0361234393974097,-0.08677889563205196,-0.00552,0.02262283087378641,0.2988168641755241,0.29454740416777664
9,6,0.499636,100,10,90,1,7,0.413762,0.3916304010233696,-0.0361234393974097,-0.08677889563205196,-0.00544,0.023328664854368936,0.30013113019494164,0.29503284106098054
10,4,-0.709292,100,55,45,16,35,0.413031,0.3907160847416802,-0.036054907527457,-0.08858373633253874,-0.005829,0.009757373187702267,0.29781524285063676,0.2928466529507816
11,4,0.654608,102,15,85,4,11,0.413331,0.3910428821273011,-0.0408143446894739,-0.08858373633253874,-0.005505,0.02210897289644013,0.3040165943069475,0.2947884005235971
12,3,-0.391188,100,61,39,15,40,0.412575,0.3902516812570122,-0.0408143446894739,-0.08858373633253874,-0.006048,0.027737238101402377,0.3113139188884467,0.29738734860881827
13,4,-0.861458,100,47,53,13,32,0.412169,0.38967217724232195,-0.04208413377058229,-0.08858373633253874,-0.006121,0.02999523195253506,0.3116086240244936,0.29659905799393155
14,5,0.38753,102,2,98,0,2,0.412169,0.38967217724232195,-0.04208413377058229,-0.08858373633253874,-0.006121,0.02999523195253506,0.31257949781090133,0.29659905799393155
15,6,-0.352301,100,43,57,12,30,0.411495,0.388916473489231,-0.04036021780812738,-0.08415221283636116,-0.00602,0.026666185836030202,0.3089819066300964,0.2957881460148601
16,2,-0.414317,100,54,46,17,33,0.41054,0.3877794807538486,-0.04036021780812738,-0.08415221283636116,-0.006188,0.029802132373247036,0.3139551124553392,0.2991383820936267
17,2,0.638738,101,2,98,0,2,0.41054,0.3877794807538486,-0.04036021780812738,-0.08415221283636116,-0.006188,0.029802132373247036,0.3149259862417469,0.2991383820936267
