,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,4,0.469892,100,50,50,10,40,0.44116,0.4164713517678347,-0.010986392531635867,-0.044209920713399596,0.010332,0.0010214745145631073,0.2639523807029763,0.26047098873142893,0.4874139570629257,0.5141917476164641,0.17189028105525056,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1, 1]","[1, 1]","[1, 1]","[0.55, 1.7862692680000005]","[1, 1]","[1, 1]"
1,6,0.604028,102,59,41,11,48,0.441377,0.4167981491534556,-0.010986392531635867,-0.044209920713399596,0.010332,-0.0028839920238095235,0.2683216582090589,0.26014889932066354,0.48715932743329604,0.513893408723687,0.17204301504037384,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.631, 1.7439993915254237]"
2,4,0.535104,101,50,50,10,40,0.442,0.41753344327110264,-0.010986392531635867,-0.044209920713399596,0.009927,-0.0061803781726768375,0.2643369573916569,0.2583394967316668,0.4865806237295923,0.5132380490573302,0.17256130958675484,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.45, -2.109808060453206]","[1.0, 0.0]","[0.631, 1.0]"
3,6,0.473232,102,50,50,10,40,0.44225,0.4178033573742229,-0.010986392531635867,-0.044209920713399596,0.009871,-0.012945593245492371,0.26834618461931137,0.2566992370380228,0.48630490044564384,0.5128360483886178,0.17283025740585975,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 0.6784367457539274]","[1.0, 0.6784367457539274]","[1.0, 0.6784367457539274]","[0.0, 0.0]","[1.0, 0.6784367457539274]","[0.4829090909090909, 1.4507171920000004]"
4,6,-0.290973,102,58,42,11,47,0.441997,0.4174600464770689,-0.010986392531635867,-0.044209920713399596,0.009897,-0.01158230740483896,0.2652451778231949,0.25753897789485736,0.4865760973618544,0.5131726707141403,0.17265659784799686,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 0.4676561010617204]","[1.0, 0.4676561010617204]","[1.0, 0.4676561010617204]","[0.0, 0.0]","[1.0, 0.4676561010617204]","[0.5702909090909091, -0.729875181034483]"
5,4,0.864788,102,51,49,10,41,0.442485,0.4180319419019055,-0.010986392531635867,-0.044209920713399596,0.010301,-0.019451004532670672,0.268903276852321,0.25603830346120043,0.4860403013680323,0.5127781111809252,0.17302270886152415,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]","[0.459, 3.1924376303553403]","[1.0, 1.0]","[0.5702909090909091, 0.0]"
6,5,0.452937,102,46,54,9,36,0.44307,0.41865092160579015,-0.01299396845232783,-0.044209920713399596,0.010267,-0.025214865050470027,0.2745221168390261,0.254838750657963,0.4852658136492061,0.512432369977831,0.17330949409051813,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 0.31324026207794486]","[1.0, 0.31324026207794486]","[1.0, 0.31324026207794486]","[0.0, 1.0]","[0.514, 1.5517375783817076]","[0.205713325491514, 0.0]"
7,3,0.662741,101,46,54,9,36,0.443544,0.4191693851029954,-0.014364218879293896,-0.03833211672334287,0.009754,-0.015347437526198179,0.2836162488778611,0.2572592846385455,0.48491771226917424,0.5118011318787918,0.17369623390669414,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 0.2018641982007165]","[1.0, 0.2018641982007165]","[0.514, 2.485990669820072]","[0.0, 0.6444388625574761]","[0.514, 1.0]","[0.205713325491514, 0.0]"
8,3,0.504062,101,50,50,9,40,0.444029,0.4197006417855055,-0.015428532590226326,-0.03833211672334287,0.009389,-0.011408125854908305,0.2914786156453345,0.2587952703875053,0.48447777348441007,0.511312910101046,0.1740346478170664,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 0.0812007062823477]","[1.0, 0.0812007062823477]","[0.5014000000000001, 1.8385665940000002]","[0.0, 0.2592281903471981]","[0.514, 0.40225412433763347]","[0.205713325491514, 0.0]"
9,5,0.307324,102,48,52,10,38,0.444548,0.4202350183503241,-0.015428532590226326,-0.03833211672334287,0.009433,-0.01571305778047465,0.29529632729581995,0.25835142460768373,0.48383436109414046,0.5110216357558878,0.17426533921254853,0.43333333333333335,"[0.8124010000000002, 1.3149997588078195]","[0.7450822971000002, 1.370853997059227]","[1.0, 0.0]","[1.0, 0.0]","[0.5014000000000001, 1.0]","[0.0, 0.1013035960861061]","[0.4834, 1.0742173951360185]",0
