,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,4,-0.645729,101,84,16,21,59,0.411066,0.38955915337589686,-0.008333188357892197,0.00117146556507804,-0.007232,-0.010400035881877023,0.2831473542488241,0.28279702242658905,0.5276016574427302,0.5159851130501479,0.169621606288742,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1, 1]","[1, 1]","[1, 1]","[0.856, 2.4401975607142856]","[1, 1]","[1, 1]"
1,3,0.555862,100,86,14,23,60,0.412051,0.39051344093065543,-0.0017042885464853383,0.00117146556507804,-0.007368,-0.010197442081599629,0.28862876344110344,0.28319019016270525,0.5267747611769671,0.5148171330060488,0.17043581776039216,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.0]","[1.0, 0.0]","[0.874, 1.75851233372093]","[0.0, 1.0]","[1.0, 0.0]","[1.0, 0.0]"
2,6,-0.481995,101,84,16,21,59,0.410873,0.38923204563921665,-0.008333188357892197,0.00117146556507804,-0.007504,-0.02117372635344429,0.2949900637107444,0.2819898796261851,0.5277396750280599,0.5165170529506993,0.1693632820905897,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.0]","[1.0, 0.0]","[0.874, 1.0]","[0.0, 0.5686624886412065]","[1.0, 0.0]","[0.856, 1.7766950785714288]"
3,3,-0.588924,100,86,14,23,60,0.409819,0.3881976114824071,-0.014352656606947017,0.00117146556507804,-0.00745,-0.021702842904530742,0.29344396662336575,0.2814237014407945,0.5287037004057773,0.5177436657144393,0.16848813008776506,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.0]","[1.0, 0.0]","[0.8614, 1.9553848583881588]","[0.0, 0.3200675768733742]","[1.0, 0.0]","[0.856, 1.0]"
4,6,0.651724,101,84,16,21,59,0.411005,0.38949869304183093,-0.008333188357892197,0.00117146556507804,-0.007295,-0.006990730436893205,0.294792338468026,0.28417653721749353,0.5277332087787553,0.516055628670585,0.16956712428633083,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.0]","[1.0, 0.0]","[0.8614, 1.0]","[0.0, 0.16368520779955756]","[1.0, 0.0]","[0.8416, -2.30183412950935]"
5,2,0.441888,100,86,14,23,60,0.411843,0.3903160733663078,-0.0017042885464853383,0.00117146556507804,-0.007457,-0.008031074133148408,0.2967883908952104,0.28459236089987905,0.5269013881929838,0.5150946191686608,0.17017790125611332,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.6971380266916681]","[0.874, 1.4487653422040507]","[0.8614, 1.0]","[0.0, 0.7467120517272264]","[1.0, 0.6971380266916681]","[0.8416, 0.0]"
6,5,0.352519,101,84,16,21,59,0.413058,0.39162326290879146,-0.0016738038823555013,0.00117146556507804,-0.007295,-0.007542903744798891,0.29933393361365707,0.286090539346481,0.525901414450677,0.5133693192959887,0.17128750320734865,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.4811945774676601]","[0.874, 1.0]","[0.8614, 0.6902429060586648]","[0.0, 0.5154126965732289]","[0.856, -1.1363550065389483]","[0.8416, 0.0]"
7,2,0.523316,100,86,14,23,60,0.41392,0.39243381495303187,-0.0016738038823555013,0.00117146556507804,-0.00745,-0.008449527450300507,0.3012645938078318,0.28730931567116214,0.5250753813931304,0.5123221553920466,0.1719225886712615,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.757153927627018]","[0.8614, 1.7644478395348835]","[0.8614, 0.8550067320303828]","[0.0, 0.7731709842495522]","[0.856, 0.0]","[0.8416, 0.5319130027831501]"
8,6,0.788782,101,84,16,21,59,0.415078,0.3936593051491103,0.007306889352818366,0.00117146556507804,-0.00737,0.009559234709893663,0.301864965652492,0.28977687185239187,0.5241726036153526,0.5109474687292282,0.172907941109153,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.42911663958658436]","[0.8614, 1.0]","[0.8614, 0.4845746713916839]","[0.0, 0.43819429904675655]","[0.856, 0.0]","[0.84016, -2.878423808649211]"
9,2,0.82364,100,86,14,23,60,0.415953,0.39445240374878454,0.005446860429648329,0.00117146556507804,-0.007508,0.0086406484246417,0.3044501680508561,0.2918760436577224,0.5233394925079692,0.509865480394229,0.17355956024346372,0.4305555555555556,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.852805317680781]","[0.86014, 2.771028152325581]","[0.8614, 0.8671044336467628]","[0.0, 0.8551458714490228]","[0.856, 0.7421632989747237]","[0.84016, 0.0]"
10,5,-0.420945,101,97,3,23,68,0.414842,0.3932516951168905,0.0033106258356146896,-0.0006539580812869112,-0.007428,0.011301827003005081,0.3036112730930199,0.2917345862911238,0.5468670607147056,0.5359805086023981,0.16181248310862298,0.42574257425742573,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[1.0, 0.3077577241375428]","[0.86014, 1.0]","[0.8614, 0.3129179445250482]","[0.0, 0.3086023758839631]","[0.9586, 1.3998754546462735]","[0.84016, 0.0]"
11,1,0.331785,102,93,7,22,67,0.4159,0.3944855864911473,0.005622671333408615,-0.014103269334004928,-0.007526,0.019062486367891814,0.30823485212078006,0.2941401775681869,0.5453492479518858,0.534687212987249,0.16272365923532564,0.4415841584158416,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[0.937, -1.124665691578477]",0,"[0.8614, 0.22353270320331292]","[0.0, 0.2204498799230265]","[0.9586, 1.0]","[0.84016, 0.0]"
12,1,-0.320943,100,93,7,19,67,0.414973,0.39326587949316383,0.002491526565060243,-0.014103269334004928,-0.007925,0.018063079433849587,0.30699674241204217,0.29376725215642213,0.5460949361429196,0.5353414649511745,0.16202094480610796,0.4415841584158416,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[0.9347467139578554, 1.076389548387097]",0,"[0.8986021281034843, 0.6345461312457931]","[0.0, 0.6330951626098774]","[1.0, 1.0]","[0.8764448153557272, 0.5293377193580651]"
13,1,0.685789,100,93,7,19,67,0.415914,0.39450334323734026,0.005622671333408615,-0.014103269334004928,-0.007509,0.020433145299930653,0.30867042881980916,0.29492825333765194,0.5453422680575556,0.5346763342974661,0.1627348003326386,0.4415841584158416,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]","[0.9304746713957857, 2.3646166677419354]",0,"[0.8986021281034843, 0.19231891075926663]","[0.0, 0.1896665685881583]","[1.0, 0.8603614057507463]","[0.8764448153557272, 0.0]"
14,3,-0.671495,100,93,7,19,67,0.415047,0.3933925319958034,0.002491526565060243,-0.014103269334004928,-0.008123,0.019236057718639236,0.30724853755767323,0.29493264287379,0.5461220696397123,0.5353740328781946,0.16208476908679254,0.4415841584158416,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]",0,0,"[0.9268602128103485, 2.0991003380622675]","[0.0, 0.2204498799230265]","[1.0, 1.0]","[0.8764448153557272, 0.0]"
15,5,-0.284713,100,93,7,19,67,0.414096,0.39210945949032405,0.002491526565060243,-0.016588018457274995,-0.008633,0.017307370375443054,0.307366554215996,0.29439745075713103,0.5469249166193934,0.5360835779639503,0.16134561219733626,0.43564356435643564,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]",0,0,0,"[0.0, 0.2204498799230265]","[0.937, 1.027558125806452]","[0.8764448153557272, 0.0]"
16,4,0.275014,100,93,7,19,67,0.414885,0.39313273457192577,0.002491526565060243,-0.014103269334004928,-0.008014,0.018885366274657117,0.30808726101211253,0.296586371090002,0.5462611664093672,0.5354903913274677,0.16191944773147832,0.4415841584158416,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]",0,0,0,"[0.8370000000000001, 1.095819225806452]",0,"[1.0, 0.0]"
17,4,-0.569064,100,93,7,19,67,0.414112,0.3921366608329865,0.002491526565060243,-0.016588018457274995,-0.008675,0.015359580147364774,0.30747060858492803,0.29403164145138283,0.546931744455182,0.5360844482060583,0.1613615400281051,0.43564356435643564,"[0.9367326134525998, 1.5951951812291219]","[0.993, 1.0274055935483872]",0,0,0,"[0.8370000000000001, 2.191404612903226]",0,"[1.0, 0.0]"
