,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,2,0.697163,101,91,9,25,62,0.414835,0.3927726335078573,-0.04249350380722146,-0.08677889563205196,-0.006077,-0.008691588618711384,0.29131512062294845,0.28865217896397005,0.48852063765554504,0.5261484546787182,0.16240836321128846,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[1, 1]","[0.919, 2.332002798901099]","[1, 1]","[1, 1]","[1, 1]","[1, 1]"
1,2,0.434251,101,91,9,25,62,0.415988,0.3939868968558279,-0.04801236806180585,-0.08677889563205196,-0.006147,-0.01402266852267474,0.29374278452627867,0.2876933015177666,0.486757315889921,0.5249251921597409,0.16328378691595868,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[1.0, 0.0]","[0.8190000000000001, 1.5234442032967033]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]"
2,2,-0.551383,101,91,9,25,62,0.414598,0.3926122630629449,-0.04249350380722146,-0.08677889563205196,-0.00608,-0.007394346924935907,0.29492505734181257,0.2906220836375077,0.4886543785230073,0.5263871096828261,0.16224336299344908,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[1.0, 0.0]","[0.8190000000000001, -1.7479175923076922]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]"
3,3,0.3099,101,91,9,25,62,0.415868,0.39385536614434935,-0.04801236806180585,-0.08677889563205196,-0.006124,-0.010497740107594675,0.29267746316705534,0.2895043804798562,0.48693473649864816,0.5250435764243357,0.1631922924846593,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[1.0, 1.0]","[0.0, 0.0]","[0.919, 1.2108205197802195]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]"
4,3,-0.432495,101,91,9,25,62,0.414539,0.39254284531625344,-0.04249350380722146,-0.08677889563205196,-0.006093,-0.006234355222124157,0.29491470394375435,0.29093190530648594,0.48874549167796083,0.5264293669613207,0.16220790399840176,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[1.0, 0.8258862347175233]","[0.0, 0.0]","[0.9109, -1.4827966604395606]","[1.0, 0.8258862347175233]","[1.0, 0.8258862347175233]","[1.0, 0.8258862347175233]"
5,3,0.479689,101,91,9,25,62,0.415883,0.3938737781711782,-0.04801236806180585,-0.08677889563205196,-0.006128,-0.011028246526709536,0.2927300864680262,0.2896793443725978,0.4869114354814264,0.5250367294084463,0.1632005771764948,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[1.0, 1.0]","[0.0, 0.6422695223973887]","[0.9100900000000001, 1.7174035582417575]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]"
6,1,0.794341,101,91,9,25,62,0.417329,0.3952926296637101,-0.04801236806180585,-0.08677889563205196,-0.006341,-0.022022208447442525,0.2959395605927557,0.28807048593624834,0.48490988527137185,0.5235361662797119,0.1642661783451976,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[0.919, 2.4466331978021976]","[0.0, 0.0]",0,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]"
7,1,-0.346872,101,91,9,25,62,0.415934,0.39392162257481134,-0.04801236806180585,-0.08677889563205196,-0.00608,-0.017312856003026105,0.2959213382626586,0.2901308686454485,0.4868484381832532,0.5249815783325728,0.16323450303106105,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[0.9109, -0.9545156791208794]","[0.0, 0.0]",0,"[1.0, 0.4087249371496703]","[1.0, 0.4087249371496703]","[1.0, 0.4087249371496703]"
8,4,-0.519493,101,91,9,25,62,0.414671,0.3926430451426077,-0.04249350380722146,-0.08677889563205196,-0.006058,-0.036091491479426724,0.2943946615636295,0.28630382567272544,0.48873220706923703,0.5263178638200855,0.16229837267301192,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[0.9109, 0.0]","[0.0, 0.7001813676386572]",0,"[0.919, 1.8344380560439555]","[1.0, 1.0]","[1.0, 1.0]"
9,4,-0.509531,101,91,9,25,62,0.413434,0.39137018562833614,-0.037995274797629645,-0.08677889563205196,-0.006035,-0.05457836923948219,0.2976483270915246,0.28395411391840686,0.4905908972831549,0.5276265789025584,0.16138480926605545,0.4583333333333333,"[0.979131876, 1.6562963404975202]","[1, 1]","[0.9109, 0.0]","[0.0, 0.3816871141174581]",0,"[0.9109, 1.7622509054945052]","[1.0, 0.5451260655573964]","[1.0, 0.5451260655573964]"
