,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,6,0.521993,100,81,19,20,59,0.41515,0.3897057919801913,-0.03534865752366238,-0.044647284614960654,0.020786,-0.00030645273462783125,0.2830509416269238,0.2810447786442685,0.5069108291099418,0.5465993849053089,0.15044681004402596,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0.8290000000000001, 1.8351097111111103]"
1,5,-0.602123,101,87,13,20,64,0.414306,0.3888826894143032,-0.03237771424155785,-0.044647284614960654,0.020963,-0.0160840343481276,0.284108132165316,0.27878011521152635,0.507948066744298,0.5478321912134152,0.14968612597758216,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.883, 2.1824264793103447]","[0.0, 1.0]"
2,2,0.712732,101,87,13,20,64,0.415209,0.38981636074090353,-0.03534865752366238,-0.044647284614960654,0.020685,-0.02036725835876098,0.2876556820498294,0.2790371536646058,0.5068829650519149,0.5465569812716756,0.15050670323618656,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[1.0, 0.0]","[0.883, 2.104201541379309]","[1.0, 0.0]","[1.0, 0.0]","[0.883, 1.0]","[0.0, 0.4582055842339321]"
3,2,0.573036,101,87,13,20,64,0.416026,0.3906783867508292,-0.025358608761498275,-0.044647284614960654,0.020479,-0.023821482508090616,0.2924902000082315,0.27949094745101355,0.5059484601960362,0.5453900392818122,0.1512929142700312,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[1.0, 0.0]","[0.8713000000000001, 1.83156065862069]","[1.0, 0.0]","[1.0, 0.0]","[0.883, 0.4752396480731107]","[0.0, 0.21775746059646797]"
4,2,-0.378763,101,87,13,20,64,0.415103,0.3897222306023206,-0.03534865752366238,-0.044647284614960654,0.020779,-0.021526508407304672,0.29125303301794025,0.28089742021800385,0.5070380630253298,0.5465981706632163,0.1504809529691948,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[1.0, 0.0]","[0.8701300000000001, -1.068680962068966]","[1.0, 0.0]","[1.0, 0.0]","[0.883, 0.25947251369277813]","[0.0, 0.11889175472924635]"
5,4,0.320306,101,87,13,20,64,0.415988,0.39065322324606166,-0.025358608761498275,-0.044647284614960654,0.020186,-0.012944601971798425,0.29038129709561017,0.28342291228457805,0.5060978941135506,0.545269889092434,0.15131095081453041,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[1.0, 0.0]",0,"[1.0, 0.0]","[0.883, -1.2322490172413798]","[0.883, 1.0]","[0.0, 0.45820558423393154]"
6,1,0.509749,101,87,13,20,64,0.416833,0.3914149636028666,-0.025358608761498275,-0.044647284614960654,0.019755,-0.023843658162274618,0.2901218961247364,0.2805484379711245,0.505100832199148,0.5438178791821301,0.15215849435195358,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[0.883, 1.7828046305743124]",0,"[1.0, 0.5520213057431186]","[0.883, 0.0]","[0.883, 1.0]","[0.0, 0.7572876450694467]"
7,1,-0.515893,101,87,13,20,64,0.415989,0.39065388934162054,-0.025358608761498275,-0.044647284614960654,0.020185,-0.012871178868469718,0.28998396408590144,0.28358739429567376,0.5060975166594005,0.5452700181365878,0.1513110443105196,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[0.8713000000000001, -1.6733057620689655]",0,"[1.0, 0.30963645498569886]","[0.883, 0.0]","[0.883, 0.5609139570598155]","[0.0, 0.42477320962841236]"
8,3,-0.55741,101,87,13,20,64,0.415048,0.38961286025999187,-0.03534865752366238,-0.044647284614960654,0.020569,-4.2277450300507726e-05,0.2930158941829888,0.287723160970431,0.5071552647228235,0.5465397256749146,0.15047088006365558,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[0.8713000000000001, 0.0]",0,"[0.883, -1.7041961677159378]","[0.883, 0.7489441381895331]","[0.883, 1.0]","[0.0, 0.939065640560862]"
9,1,-0.497405,101,87,13,20,64,0.414246,0.3888497819678449,-0.03237771424155785,-0.044647284614960654,0.021001,0.010592460309754973,0.2971593680915794,0.2914254900921465,0.508045194098531,0.5479222086244089,0.14966060159827105,0.4166666666666667,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[0.8816749716874293, -1.6227683243762554]",0,"[1.0, 0.0]","[1.0, 0.9071606324985966]","[1.0, 1.0]","[0.0, 0.9774667384834714]"
10,3,-0.634614,101,81,19,17,59,0.413577,0.38812669601354977,-0.02852918776040504,0.012949043390654178,0.020906,0.019495187452612115,0.3044015156643949,0.2940117985678265,0.5493620996494113,0.5471328782312768,0.1463740989979487,0.36947791164658633,"[0.9810000000000001, 1.0927899679012345]","[1, 1]","[0.8816749716874293, 0.0]",0,"[0.8290000000000001, -1.7964563750044347]","[1.0, 0.9646025283138638]","[1.0, 1.0]","[0.0, 0.9914085962884703]"
