,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,1,0.615744,100,85,15,22,61,0.415702,0.3935950314709331,0.0017567427921876468,0.034510129345335726,0.011253,0.0077844040453074435,0.33009530189795916,0.32995730680252194,0.5505665448902253,0.5364666551829125,0.15936556155729178,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.865, 2.0384743070588236]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]"
1,5,0.412702,102,86,14,21,62,0.416784,0.39475832596610716,0.0017104649354688108,0.034510129345335726,0.011173,0.003955896084142395,0.3331108154901921,0.3272395226662301,0.5497774333702032,0.5353429024456163,0.16024258054200097,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 1.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.874, 1.3874552581395352]","[1.0, 0.0]"
2,5,-0.474029,101,85,15,22,61,0.415241,0.39328773773081305,0.003408481409069646,0.034510129345335726,0.011173,0.002705416027508089,0.33731444849990083,0.32670901936666097,0.550921826185815,0.5368126419681862,0.1592059069296529,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 0.7207439621086729]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.8524, 1.7171825447058824]","[1.0, 0.0]"
3,5,-0.603706,102,86,14,21,62,0.414222,0.39215696681638573,0.0016105833412283054,0.034510129345335726,0.011332,0.00822471028317152,0.3357307555631022,0.32931275363850565,0.5516261081012124,0.537874511007456,0.15837281294344588,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 0.41972471961745994]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.85924, -1.9349985395348832]","[1.0, 0.0]"
4,2,0.421281,101,85,15,22,61,0.415593,0.3934641563588694,0.0017567427921876468,0.034510129345335726,0.011332,0.000910933745954693,0.3425256576967936,0.32808235093509414,0.5507656389534827,0.5365519732111137,0.1593070559416105,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 1.0]","[0.865, 1.5303429529411763]","[1.0, 0.0]","[1.0, 0.0]",0,"[1.0, 0.0]"
5,4,0.549952,102,86,14,21,62,0.416816,0.39470861021111303,0.0017567427921876468,0.034510129345335726,0.011394,0.00316109248381877,0.3462260800268906,0.3277434589286216,0.5500035123472021,0.5352815856329997,0.1602314763547425,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 0.6534482993358406]","[0.865, 1.0]","[1.0, 0.0]","[0.874, 1.8196602279069773]",0,"[1.0, 0.0]"
6,4,-0.690936,101,85,15,22,61,0.415276,0.3932380219758189,0.0034494653328733735,0.034510129345335726,0.011394,-0.0030966855906148865,0.3493372994443664,0.3297788693975577,0.5511411762286917,0.5367366882709016,0.15919737862003777,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 0.359104567607907]","[0.865, 0.5495531444077487]","[1.0, 0.0]","[0.8524, 2.4954531294117643]",0,"[1.0, 0.0]"
7,4,0.524721,102,86,14,21,62,0.416524,0.39448160573799185,-3.103107832803233e-17,0.034510129345335726,0.011457,-0.0007996588915857583,0.35321354022794027,0.3295691043166516,0.5502866307061807,0.5353575797055441,0.16014094336924195,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 0.1439035513732755]","[0.865, 0.22022178574730075]","[1.0, 0.0]","[0.85924, 1.8368129883720932]",0,"[1.0, 0.0]"
8,2,-0.630712,101,85,15,22,61,0.415006,0.39301101750269773,0.0017051619903890437,0.034510129345335726,0.011457,0.010366877313915855,0.34879641498522185,0.33206272531179715,0.5513690031233832,0.5368055970343271,0.15912314496797383,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 0.6534482993358405]","[0.8515, -2.2445456458823525]","[1.0, 0.0]",0,0,"[1.0, 0.0]"
9,6,0.730783,102,86,14,21,62,0.416155,0.39410021926711936,-0.0027294805390186997,0.034510129345335726,0.011495,-0.00025633163430420453,0.35313306506075864,0.33040006213999823,0.5504606949110683,0.5355010026542997,0.15999209060084227,0.3638888888888889,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 1.0]","[0.8515, 0.0]","[1.0, 0.7745170239523597]",0,0,"[0.874, 2.6360779651859336]"
10,6,0.574342,101,93,7,20,67,0.417061,0.39512333883364514,-0.014372710691729148,0.02363675437037176,0.011453,0.009963730807520419,0.3550322975212401,0.3321236577492215,0.5520780309687584,0.52690506612257,0.16948673353796276,0.39377289377289376,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 0.3793514506045597]","[0.8515, 0.0]","[1.0, 0.2938141565542542]",0,0,"[0.9244000000000001, -1.9400182709677405]"
11,2,-0.484366,102,91,9,18,66,0.416069,0.3940996179767161,-0.014793367866271603,0.02482073910645319,0.011734,0.0048756661192017265,0.3587555956661074,0.33037185810283715,0.5529682445200762,0.5281845440838637,0.16860762195366785,0.3791208791208791,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 1.0]","[0.90415, 1.811218787775361]","[1.0, 0.9631204575731377]",0,0,"[0.9244000000000001, 0.0]"
12,6,-0.468678,100,86,14,15,62,0.415056,0.3929244565888261,-0.014793367866271603,0.02482073910645319,0.011541,0.009795605399137007,0.35503019760785487,0.3289012776821251,0.5536379588026328,0.5291327333839988,0.1678723566156397,0.3791208791208791,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 1.0]",0,"[1.0, 0.9631204575731377]",0,0,"[0.8664400000000001, 1.7472415395348826]"
13,1,-0.544289,101,93,7,20,67,0.414109,0.39190371981158745,-0.014793367866271603,0.02005693371289131,0.011419,0.020311465235013107,0.35651211939262056,0.33236260414845276,0.5547881473836862,0.5301313488406071,0.16709348728614215,0.3791208791208791,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.8370000000000001, -1.7587922193548382]",0,"[1.0, 0.0]",0,0,0
14,3,0.313905,102,91,9,18,66,0.414932,0.3927463876543137,-0.014793367866271603,0.01878460303588982,0.011106,0.025828263121243644,0.3578209087130088,0.3352024829726168,0.5541280423464511,0.5290701097976749,0.16779534768381488,0.39377289377289376,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 0.0]",0,"[0.919, -0.9837380956043961]",0,0,0
15,1,-0.443115,100,86,14,15,62,0.413931,0.3915637790565424,-0.011971942408100851,0.01878460303588982,0.010906,0.025676316106680537,0.3603784990042711,0.3354029228512575,0.5547636686489741,0.530030727845775,0.16706721961433924,0.39377289377289376,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.774, 1.5622265988372093]",0,"[1.0, 0.0]",0,0,0
16,3,-0.429881,101,93,7,20,67,0.412755,0.3902565895140586,-0.011971942408100851,0.01878460303588982,0.011068,0.03105909896305286,0.36150990348286194,0.3368131525245508,0.5559948524499092,0.531264716227447,0.16605093807983193,0.39377289377289376,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]","[0.0, 1.0]",0,"[0.937, -1.5032150806451623]",0,0,0
17,3,-0.129323,102,91,9,18,66,0.41203,0.3895610510095521,-0.011971942408100851,0.02005693371289131,0.011348,0.0287353797603637,0.3627612272192953,0.335182219406004,0.5565372926249603,0.5322504015936741,0.16540830230561063,0.3791208791208791,"[0.9612499999999999, 1.2406564636818058]","[0.9338154093999999, 1.3908610622716027]",0,0,"[0.919, 0.4444950461538464]",0,0,0
