,Unnamed: 0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,privacy,activity,satisfaction,lat_acc,lat_rej,id,pol_inclination
0,0,0.19290863449012452,-0.03952887037695811,-0.04840518637820618,-0.12865677529190991,-0.3116368505045608,-0.7091878458575775,0.2,0.25,-0.9669428000000001,0.386098496759187,1.613901503240813,0,-0.2090760082315014
1,1,-0.021588112354308138,0.1230560586367261,0.47231522365323536,-0.578941106111315,-0.002377945969872397,-0.32751338079705866,0.5861341690746067,0.4860509999999993,0.05667011249999998,0.37238112166424014,1.62761887833576,1,-0.24710260046898322
2,2,0.1495161446177345,0.47272913143989337,0.41985660606926545,-0.0810772937123755,-0.24424538476290525,-0.014831139729421391,0.2930885529370855,0.1895818,-0.6141650583333333,0.3059466664003845,1.6940533335996155,2,-0.2303759500552659
3,3,0.3326961016062795,0.5006281208595135,0.5024179657827902,-0.20944963004828332,-0.08485749428443869,-0.0010516321761515138,0.05,0.2413864,-0.70260065,0.5101957413039544,1.4898042586960454,3,-0.27185015745957614
4,4,0.21151474633334405,0.8999999999999999,0.462873163206654,-0.2716639338915565,-0.0196733936119423,-0.6118338952091282,0.7434873968839926,0.2722522000000001,0.106727175,0.8712541425271048,1.1287458574728955,4,-0.41292652204210417
5,5,0.11410492587679437,0.10053540523161784,0.28397565251782597,-0.01718032720308299,-0.2002625430797854,0.008885934060793806,0.15000000000000002,0.0071944999999999995,0.05430481666666642,0.6971879565333773,1.302812043466623,5,-0.11786215330805212
6,6,0.4126526380447317,0.981512433617746,0.21755418541646743,-0.3141835499988852,-0.3722071027735161,-0.7566086116961417,0.058796441252446624,0.25,-1.3945084030952382,0.42265826532077694,1.577341734679223,6,-0.5091197535912481
7,7,-0.012358709183733926,0.7963011356458457,0.5072372276069727,-0.6149700989077667,-0.5134271728273145,-0.2831441345595722,0.14573994285714284,0.25,-1.7158057988095239,0.2082762196053475,1.7917237803946524,7,-0.4504535100606229
8,8,0.8390486630932215,0.660782604960923,0.054170732973815305,-1.0,-0.5152342930624686,-0.6104622713459305,0.05843780362737691,0.32455270362737687,0.6735682000000001,0.5570346959811561,1.4429653040188442,8,-0.6132830942393931
9,9,0.3192666985752004,0.2703090818820431,0.538698188773134,0.03698766142138011,-0.8165940126622101,-0.0230943353963963,0.24245109999999997,0.1837772,-0.7274326499999999,0.457875189918883,1.542124810081117,9,-0.3218291093112673
10,10,-0.050493825906840206,0.5520072106878162,0.0731355102767257,-0.8999999999999999,-0.11209403151279,-0.33866647069202077,0.1735846248212367,0.7071672248212371,0.17240450000000002,0.7236854611177673,1.2763145388822326,10,-0.32090156621041876
11,11,0.4962511578948321,0.0616295028088763,0.4507067750962625,-0.5589927816313154,-0.5474605758756804,-0.224207388734128,0.0,0.2585919,-0.10045180000000001,0.36629366467033714,1.6337063353296628,11,-0.3898746970068491
12,12,0.4781072392593415,0.6740715468509219,0.95,-0.3849517323750282,-0.1997749356721809,-0.04620611177575851,0.4092421599630125,0.1675423,-0.5392956000000001,0.20995409979640833,1.7900459002035913,12,-0.45551859432220515
13,13,0.2097323211093865,0.6770777131207485,0.9732909495929853,-0.45885665497710587,-0.152601303344986,-0.7215912999642347,0.03512160238095239,0.25854379999999993,-1.2724583626190475,0.3689560088531623,1.6310439911468382,13,-0.5321917070182411
14,14,1.0,0.3830616884476896,0.2720995339001083,-0.2802066259323361,-0.01534956567400629,-0.3118540435307702,0.05,0.2194897,-0.06714892333333333,0.45193573456922354,1.5480642654307761,14,-0.3770952429141518
15,15,0.17370336411234402,0.4178669144107713,0.31544387696776377,-0.06502406016281867,-0.128157420800025,-0.3055995725357286,0.1524240988856725,0.27016290000000004,-0.13872211761904765,0.5455474523051558,1.4544525476948438,15,-0.2342992014982419
16,16,0.09274423273260389,0.1329943522603333,0.4655713956018062,-0.42664951307036203,-0.21626391503613332,-0.25124689264035205,0.10409512002440617,0.244471,-0.7794874333333335,0.3840321193463306,1.6159678806536697,16,-0.26424505022359845
17,17,0.8735323722913518,0.5228803757168639,0.2554416819474654,-0.2247560003049324,-0.169043271895833,-0.7142854210669909,0.05,0.35510639999999993,-0.053714100000000015,0.7665707637812043,1.233429236218796,17,-0.4599898538705729
18,18,0.0544198486922552,0.4439100429631377,0.3649981464186611,-0.2378909555374294,-0.5132827613380975,-0.1960785246336268,0.19051497945294155,0.30329969999999973,-0.9985351999999998,0.3786607465912996,1.6213392534087003,18,-0.3017633799305346
19,19,1.0,0.2444900485827852,0.1928732291845537,-0.7164823377303519,-0.5372282795964916,-0.05085902423083653,0.0393722561691426,0.2844545,-0.1274693,0.5814235052823431,1.418576494717656,19,-0.4569888198875031
20,20,0.644336083758011,0.268022250027343,0.1380487785654449,-0.2826246039131115,-0.8186952795130007,-0.10096314743053213,0.23824610000000002,0.2,-0.7532901333333335,0.3702924599489331,1.6297075400510665,20,-0.3754483572012406
21,21,1.0,0.2269059999758632,0.19251864823056014,-0.2321845891282606,-0.8857474550224471,-1.0,0.15000000000000002,0.25,-1.1411740083333335,0.27739031689677157,1.722609683103228,21,-0.5895594487261885
22,22,0.005284725310146954,0.10544621221866911,-0.0739887296257133,-0.1692147514621155,-0.2345616522364264,-0.45936773468778014,0.1,0.25,-1.2998445600000001,0.5051712417121977,1.4948287582878026,22,-0.14998105771490414
23,23,0.6961609558894943,0.178689044451551,0.0017554583044877,-0.13481321620321687,-0.0734633120328142,-0.3469784162024653,0.9769586666666668,0.28941339999999993,0.4120487050000001,0.15818082224026936,1.8418191777597306,23,-0.23864340051400487
24,24,0.7889436940863339,0.6779391159499738,0.763541603175658,-0.3719433551960504,0.07094355160072541,-0.519955018812954,0.38388436,0.2495710000000001,1.28041622,0.6178389165259246,1.3821610834740758,24,-0.5085632059367075
25,25,0.1313045606244271,0.3821798576970178,0.5120776322585665,-0.4815473730196689,-0.1926491646239994,-0.1349006856980909,0.6695548949507816,0.24144899999999997,-0.75484865,0.3534130113575609,1.646586988642439,25,-0.3057765456536284
26,26,1.0,0.2733262154976444,0.1281779899174993,-0.4879490212785372,-0.5819083078965113,-0.3552520186636889,0.1580343343598248,0.25,0.13165024999999989,0.381795452648355,1.618204547351645,26,-0.47110225887564683
27,27,0.5477793944401631,0.1457608598650994,0.2734081912232993,-0.5586855668642912,-0.8809995189064864,-0.1744841388157673,0.7451569252872935,0.2013033999999997,-0.4470922,0.42747869774645786,1.5725213022535416,27,-0.4301862783525177
28,28,0.1591196405074799,0.40266326979927036,0.700162506176457,0.007364919705493203,-0.3188178439867582,-0.018122588318112823,0.05,0.43760569999999993,-5.147477774999998,0.3562223888145416,1.643777611185458,28,-0.2652534881804309
29,29,0.3124898800939211,0.184048585008793,0.8999999999999999,-0.8835996906640414,-0.7825096031969414,-0.3184884506474968,0.46917077708483174,0.25,-0.055176449999999794,0.2554555298021344,1.744544470197866,29,-0.5635227016018656
30,30,0.14625696251602271,0.6506706513576266,0.5794423137726418,-0.0946554615793701,-0.29926355065507676,-0.08546342299481711,0.15142821999999992,0.3823362999999997,-1.1751227897619048,0.40992333794615543,1.5900766620538447,30,-0.30929206047925917
31,31,0.5517736729621273,0.4205041605695426,0.2975210525712543,-0.8239241187780171,-0.2884154441702591,-0.2668163498563792,0.0586749,0.25,-2.3676584599999995,0.23652608538300807,1.763473914616992,31,-0.44149246648459656
32,32,0.0682474224814541,0.0738682450339704,0.07591026268060562,-0.19457239495128803,-0.1818008366543583,-0.2600638191728432,0.13318268870512845,0.14678060000000004,-0.3131480666666668,0.4297130300414057,1.570286969958595,32,-0.1424104968290866
33,33,-0.4133460540333598,0.3120599975603257,0.2186633173522463,-0.29040120914417683,-0.32983498705270736,-0.08124602278387613,0.9096074599999999,0.4523356444394671,0.27990896345238103,0.31669198171453383,1.6833080182854663,33,-0.1364765799766621
34,34,0.4101613605949534,0.38789727158266296,0.604530331129682,0.1353992405587029,-0.17152655952502016,-0.6591860927321255,0.8002876399999999,0.25647849999999967,2.179513673333334,0.7730009876826043,1.226999012317396,34,-0.34965039583429025
35,35,0.300284593985995,0.6727467367583991,0.6791361800073996,-0.0015076993701709,-0.60990614506123,0.07517862416953841,0.05,0.2587409,-1.8136918499999997,0.3159266031333404,1.6840733968666595,35,-0.36473378850227606
36,36,-0.5274049399864086,0.5922301361120106,0.3663011213400394,-0.19311801984438998,-0.01723430606878753,-0.2631273852379565,0.6846969458710185,0.8473818999999997,-0.9523272755952383,0.5827650529663684,1.417234947033632,36,-0.15076767143612924
37,37,0.0122425848243039,0.2420997597990457,0.32658022569952205,-0.40651344364666037,-0.8767301796351453,-0.27221312489366,0.3811388282437777,0.5402463115771109,0.18062664999999992,0.38630732348877705,1.613692676511223,37,-0.3560632197497229
38,38,0.283282324015322,0.18933051269354684,0.9961883498356369,-1.0,-0.49541923604045707,-0.23388260264610544,0.07822835,0.21799230000000003,-3.402284626666667,0.2244088474025326,1.7755911525974677,38,-0.5330171708718446
39,39,0.0369774465674036,0.2937169347505113,0.9936682550891712,-0.4791750331715298,-0.3610767637380787,-0.5379712203819466,0.04959982500000001,0.2,-1.4711578633333335,0.5438984283957627,1.4561015716042371,39,-0.4504309422831068
40,40,-0.16991909409564443,0.42726183501996157,0.6360139927612606,-0.5658133886601405,-0.38537161317152885,0.08497672596435983,0.05000000000000002,0.2658368,-0.841066845555556,0.39730060992172006,1.60269939007828,40,-0.2932608349254812
41,41,0.9813952837645228,-0.07561229693330981,0.16172996188915098,-0.1641248073126824,-0.19730045242508376,-0.0984465824193738,0.07204160607788623,0.2065009000000001,0.03911256666666666,0.27580253572377367,1.7241974642762266,41,-0.2545641318129173
42,42,0.6541066911380976,0.08489328360216535,0.0381420489660943,0.04901474595431371,-0.1541018030004917,-0.9322536446470886,0.6252838,0.1377141,0.19327400000000025,0.5706888234703479,1.4293111765296527,42,-0.302413787566604
43,43,0.1491012654238413,0.25602634292168513,0.33823640594567816,0.020328041379510484,-0.5918747777472606,-0.9962491875693557,0.20199061685306985,0.2488421,-0.595427065,0.4051692511834038,1.5948307488165963,43,-0.3851933230380517
44,44,0.7698879103844926,0.5900780903985848,0.07409781039177474,-0.1551082285870346,-0.0617625337695745,-0.2417372132351624,0.0,0.31278960000000006,-1.0985097333333333,0.7198417554304305,1.28015824456957,44,-0.31544529779443725
45,45,0.2451990924579525,1.0,-0.1920629085755015,-0.7068807279515948,-0.0202768363109425,-0.7412164857833367,0.23251280000000002,0.28675619999999996,-0.44918050000000026,0.25621946956687225,1.7437805304331273,45,-0.4202517056547208
46,46,0.0199100062555937,0.0133369348915245,0.610804941893258,0.06770826350705875,-0.6792153916135283,-0.1558086115973235,0.2107290666666667,0.5421786999999993,-1.8613076000000002,0.2760797029316227,1.7239202970683771,46,-0.23522793712402823
47,47,0.4435186495484363,0.07525005065883471,-0.11162549233561127,-0.593084778578394,-0.21576399263667867,-0.6338358932390631,0.3430969462891774,0.25,0.9868484162698418,0.6729326394399866,1.3270673605600134,47,-0.3083046453876326
48,48,0.4676745946655716,0.7584051172196046,0.1716817148253293,-0.0223575972213413,-0.0674903807409674,-0.4789442190203413,0.1,0.30168889999999987,-1.590314189047619,0.5107139587267214,1.489286041273279,48,-0.3277589372821926
49,49,-0.2759757254620168,0.36832269447602345,0.9386788841188759,-0.5014435124053614,-0.0586846837906705,-0.1450604668364539,0.8067109415118178,0.7712211000000003,1.666579391666667,0.29166728766963257,1.7083327123303673,49,-0.28936908602756145
50,50,-0.3818365933485767,-0.1437859488857408,-0.0068203794545953,0.5425217488577949,0.95,0.44753337342931376,0.3751291502740967,0.7499999999999998,-0.3863915250000003,0.537182523546774,1.462817476453226,50,0.4120830073293369
51,51,-0.5102030868908174,-0.4385534879364691,-0.4512014692773458,0.3003010213701807,0.26844964969753055,0.19391482857461612,0.2984321250658403,0.7429833999999998,-0.058987185238095256,0.584082730576263,1.4159172694237374,51,0.3604372572911599
52,52,-0.23477720799323668,-0.11973025515610362,-0.33407509575267186,0.5205687973692043,0.4137805257430761,0.3168167056601674,0.0,0.7499999999999998,-2.25393441,0.45616952937099964,1.543830470629001,52,0.32329143127907667
53,53,-0.9104276445842768,-0.281172417150562,0.12858361422413883,0.4119260714751079,0.2976645197548394,0.3245417938750941,0.48502470341947274,0.6999999999999997,1.78081315,0.7802393293642469,1.219760670635753,53,0.34952480543595693
54,54,-0.1793575299850892,-0.24152620037111572,-0.2688683886444262,0.7293079378275695,0.6945963229852611,0.2497461299711519,0.17525218344407795,0.6961247999999997,0.11141829999999991,0.6170386791604875,1.3829613208395126,54,0.39390041829743555
55,55,-0.0388907448188014,-0.4268046739784466,-0.8116839011995305,0.291786924534554,0.026211466233557,0.16567120163532578,0.5771064706600652,0.7850269000000002,0.72375635,0.5495368629319719,1.450463137068028,55,0.29350815206670255
56,56,-0.0025558942422749392,-0.1215865586758043,-0.14805019357717242,0.6142858058351429,0.7312486155436161,0.27858460567795057,0.5736108345238096,0.7999999999999998,0.5674330635714284,0.6231577492165262,1.3768422507834743,56,0.3160519455919935
57,57,0.06862643774130989,-0.6964914642818709,-0.3298584283655407,0.1352814070025874,0.1626635252393191,0.3267460196506402,0.40704468125988136,0.14319929999999997,0.5273695266666667,0.672174441074964,1.3278255589250358,57,0.26373573446644144
58,58,0.47358510857526437,-0.41338437704935826,-0.22740400918082437,0.0977199889723812,0.7186385119816057,0.04624066600778565,0.18461349999999999,0.18392630000000001,-0.4834714933333334,0.4127912740958468,1.5872087259041536,58,0.17163374076944846
59,59,0.019010440190374275,-0.0896531672021817,-0.7999999999999998,0.7359040749988431,0.11874512880308259,0.26606533239967234,0.31007642040349065,0.7118078999999996,-0.4588677,0.4707089067391261,1.5292910932608736,59,0.33189287720223426
60,60,-0.6499999999999997,-0.3953468118483522,-0.7882573801232312,0.33919615020994387,0.1089869363531858,0.40954264202309804,0.989187546405051,0.6783751999999998,0.7127017950000001,0.5417561366340352,1.458243863365965,60,0.4485549867596352
61,61,-0.39238645932354377,-0.576095328345542,-0.20831779028027197,0.730421688473999,0.1940765275886192,0.5279235818204472,0.3365742606043156,0.7994066999999998,-0.33350620000000003,0.41264747995355455,1.5873525200464451,61,0.4382035626387372
62,62,-0.09818127655271928,-0.143269529983881,-0.49580657805064715,0.7149667745226869,0.5907840184951094,0.13667904834124195,0.268376574123635,0.6903047999999996,-0.4329537333333333,0.40576046348885253,1.5942395365111477,62,0.36328120432438094
63,63,-0.8748638605334086,0.044676980801662304,-0.27911528738143443,0.6252329768434282,1.0,0.28439357078046645,0.24148762393134499,0.5263103322646784,0.3657564851190478,0.6592907606549581,1.340709239345042,63,0.5031547857895126
64,64,-0.0455230571907586,-0.2691927214890812,-0.0057143670495162,0.4313832931517972,0.1695593483885535,0.3652183127714055,0.326074498274697,0.24090290000000003,-0.24485600000000002,0.4409044304688155,1.5590955695311843,64,0.21443185000685205
65,65,0.09021429057450431,-0.1150574400094952,-0.4520897958326776,0.5239157504025566,0.6981924276795991,0.8564800912865528,0.15000000000000002,0.26096659999999977,-0.26457345000000004,0.288959975551813,1.711040024448187,65,0.42592020243939616
66,66,-1.0,-0.6132326946443425,-0.1551421694613661,-0.022773058936277707,0.4643693716808942,0.05939279168832909,0.16919947715117872,0.8417207999999997,-0.3561740749999997,0.7559138888643561,1.2440861111356438,66,0.3782273280897757
67,67,-0.19910810187882022,-0.4250651911155118,-0.18838101749855057,0.36848461667587584,0.12996519983193155,0.5668686605508851,0.6709678692116504,0.7099521000000001,-1.1202530666666664,0.77270289388069,1.2272971061193094,67,0.3129787979252625
68,68,-0.1058210970319572,-0.7999999999999998,-0.5867171195484557,0.3682034865162923,0.6290627253406893,0.183100057527525,0.29933316336625226,0.8461632999999998,0.9158780500000001,0.6380555447218659,1.3619444552781343,68,0.4454840809941532
69,69,0.08728771347099727,-0.26380663108090807,0.23365811755512217,0.7723766069168345,0.3383025843536623,0.3675668911504642,0.6419820088014624,0.18664914880146227,0.7222436766666667,0.6626899219935786,1.3373100780064209,69,0.23685114707929159
