,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,6,-0.794457,102,39,61,6,33,0.417577,0.3969265688882375,-0.022962067755643044,-0.050384126526957715,-0.002383,0.0066773929958391124,0.3021580421640355,0.30641349889987207,0.5024215871568971,0.5629193894919639,0.1432738550562566,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0.45100000000000007, -2.297800907692308]"
1,3,0.358248,101,22,78,2,20,0.417627,0.3969952703522894,-0.022962067755643044,-0.050384126526957715,-0.002451,0.008051140762829404,0.30926137129024917,0.30665492530763905,0.5023826563272678,0.5628680521342108,0.14331553543248415,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1.0, 1.0]","[1.0, 1.0]","[0.29800000000000004, 1.2598685772727272]","[1.0, 1.0]","[1.0, 1.0]","[0.0, 0.0]"
2,3,-0.39695,102,38,62,6,32,0.417316,0.3966174821851214,-0.022962067755643044,-0.050384126526957715,-0.002528,0.00696163890198798,0.31650967323199664,0.3061298560681569,0.5026355374375523,0.5633790768795321,0.14297451369358574,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1.0, 0.7937335830414376]","[1.0, 0.7937335830414376]","[0.3718, 1.3031452473684209]","[1.0, 0.7937335830414376]","[1.0, 0.7937335830414376]","[0.0, 0.0]"
3,4,0.636496,102,21,79,2,19,0.417528,0.39678088087793184,-0.022962067755643044,-0.050384126526957715,-0.002528,0.007084498934350439,0.32254627517374423,0.30625271610051935,0.5023809078079227,0.5628499763504315,0.14326392426991888,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1.0, 0.6090906479107435]","[1.0, 0.6090906479107435]","[0.3718, 1.0]","[0.28900000000000003, 1.866924493362503]","[1.0, 0.6090906479107435]","[0.0, 0.0]"
4,5,0.640334,102,42,58,6,36,0.417841,0.3971445452854236,-0.022962067755643044,-0.050384126526957715,-0.002491,0.00652837435275081,0.32557738585335594,0.30557726922118505,0.5020427129287192,0.5625935959179861,0.1434483540089282,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1.0, 0.3262534987763298]","[1.0, 0.3262534987763298]","[0.3718, 0.5356403023021611]","[0.28900000000000003, 1.0]","[0.478, 2.059320114163347]","[0.0, 0.0]"
5,5,0.337417,102,41,59,6,35,0.418166,0.3975131679399958,-0.022962067755643044,-0.050384126526957715,-0.00245,0.005735322699953768,0.3285452906742802,0.30499170874961784,0.5016932793561334,0.5623211602092802,0.14364650221444708,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1.0, 0.15842777260925212]","[1.0, 0.15842777260925212]","[0.3718, 0.2601054098477444]","[0.28900000000000003, 0.4855971605008464]","[0.41680000000000006, 1.1757943439024392]","[0.0, 0.0]"
6,5,0.360241,102,44,56,6,38,0.418534,0.39790853361035733,-0.022962067755643044,-0.050384126526957715,-0.00222,0.00696031184234859,0.33626022450366355,0.3059173037334366,0.501197614453582,0.5618107448063322,0.14405676995318903,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1.0, 0.1347410569125833]","[1.0, 0.1347410569125833]","[0.3718, 0.22121675546121394]","[0.28900000000000003, 0.4129949791127236]","[0.43768, 1.263812131818182]","[0.0, 0.0]"
7,2,-0.553049,100,27,73,3,24,0.418425,0.39773943436565296,-0.022962067755643044,-0.050384126526957715,-0.002079,0.005399504560795191,0.33489097064044954,0.30542131101499004,0.5012950525152844,0.5618953348683788,0.14398583913764956,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1.0, 0.10661478357446864]","[0.343, 1.6384193450241133]","[0.3718, 0.17503927197071661]","[0.28900000000000003, 0.3267851041424715]","[0.43768, 1.0]","[0.0, 0.0]"
8,1,-0.865765,101,42,58,6,36,0.418185,0.3974222233467228,-0.022962067755643044,-0.050384126526957715,-0.001973,0.006265352165973184,0.3292470725821971,0.30587918984994145,0.5015704988809448,0.5620931869393859,0.14378864001917568,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[0.478, -2.474753848286466]","[0.343, 1.0]","[0.3718, 0.10683423172603011]","[0.28900000000000003, 0.19945144393889105]","[0.43768, 0.6103443560020237]","[0.0, 0.0]"
9,6,-0.512047,102,40,60,6,34,0.417739,0.3969821422540803,-0.022962067755643044,-0.050384126526957715,-0.001699,0.008477513504392046,0.32598076230535533,0.30681367140333954,0.5020529114336802,0.5626953306822678,0.14342058043799785,0.45555555555555555,"[0.9063700000000001, 1.1470267528428892]","[0.6762888400510002, 1.6576487710429966]","[1.0, 0.0]","[0.7175732217573223, 1.0]","[0.7778242677824269, 0.7429556718918596]","[0.6046025104602512, 0.7696099951206933]","[0.9156485355648536, 0.887860936051591]","[0.36000000000000004, -1.4898964269796668]"
