,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,6,-0.58841,102,11,89,1,10,0.417976,0.39730237037882987,-0.022962067755643044,-0.050384126526957715,-0.002755,-0.0024146436893203883,0.2996791539742052,0.3041551697736585,0.5019308332387153,0.5622727513157426,0.1436333004877235,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0.199, -2.8364047181818184]"
1,5,0.38407,102,4,96,0,4,0.417976,0.39730237037882987,-0.022962067755643044,-0.050384126526957715,-0.002755,-0.0024146436893203883,0.3016209015470207,0.3041551697736585,0.5019308332387153,0.5622727513157426,0.1436333004877235,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]","[0.136, 2.307208375]","[0.0, 0.0]"
2,4,-0.70163,100,16,84,1,15,0.417898,0.39722067103242464,-0.022962067755643044,-0.050384126526957715,-0.002836,-0.0032987637540453077,0.30014509372245934,0.3036697328804546,0.5020002776831599,0.5623397478113106,0.14359749464191726,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 0.4334242241990821]","[1.0, 0.4334242241990821]","[1.0, 0.4334242241990821]","[0.24400000000000002, 1.4637682099199083]","[0.136, 1.0]","[0.0, 0.0]"
3,3,-0.343512,100,19,81,2,17,0.417755,0.3970904575466857,-0.022962067755643044,-0.050384126526957715,-0.002965,-0.002921827346278317,0.2983789645962457,0.3040466692882216,0.5021153023435122,0.5624761682202553,0.14352264254407032,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 0.2961016787096349]","[1.0, 0.2961016787096349]","[0.271, 0.8052666415551741]","[0.24400000000000002, 1.0]","[0.136, 0.6831682729704289]","[0.0, 0.0]"
4,4,0.768352,100,16,84,1,15,0.417833,0.39717215689309093,-0.022962067755643044,-0.050384126526957715,-0.002884,-0.0019536312297734624,0.2998868209069253,0.30453210618142545,0.5020458578990676,0.5624091717246873,0.14355844838987655,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 0.2961016787096349]","[1.0, 0.2961016787096349]","[0.271, 0.8052666415551741]","[0.16840000000000002, 1.6338925000000002]","[0.136, 0.6831682729704289]","[0.0, 0.0]"
5,3,0.448967,100,19,81,2,17,0.417998,0.3973172636585509,-0.022962067755643044,-0.046050303297467454,-0.00274,-0.002381572977346278,0.3017588471205176,0.3041041644338527,0.5019097344257771,0.5622389932150414,0.14364765002961377,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 0.18122470034572952]","[1.0, 0.18122470034572952]","[0.19810000000000003, 1.0461128034950633]","[0.16840000000000002, 1.0]","[0.136, 0.4181231463945326]","[0.0, 0.0]"
6,4,0.718816,100,16,84,1,15,0.418078,0.39739896300495614,-0.022962067755643044,-0.046050303297467454,-0.00266,-0.0014757959546925566,0.30326338110110007,0.3045896013270566,0.5018402899813328,0.5621719967194736,0.14368431675696267,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 0.17323628937554125]","[1.0, 0.17323628937554125]","[0.19810000000000003, 1.0]","[0.16084, 1.5508113793044258]","[0.136, 0.39969221770117236]","[0.0, 0.0]"
7,3,0.478571,100,19,81,2,17,0.418251,0.39754825077196165,-0.022962067755643044,-0.046050303297467454,-0.002512,-0.002022106634304207,0.3051628199360515,0.3040432906474449,0.5016982434225195,0.5619923412729914,0.14378017153825765,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 0.11170687272957829]","[1.0, 0.11170687272957829]","[0.19081, 1.1471702480944705]","[0.16084, 1.0]","[0.136, 0.25773103230674216]","[0.0, 0.0]"
8,5,-0.54981,100,40,60,6,34,0.41779,0.3970580546935303,-0.022962067755643044,-0.046050303297467454,-0.00235,0.0022470664724919096,0.3072169034311972,0.30541326564744486,0.5022167630803515,0.5627036579081874,0.14333935271200945,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 0.43342422419908216]","[1.0, 0.43342422419908216]",0,0,"[0.37360000000000004, 1.45270954]","[0.0, 0.0]"
9,5,-0.54672,102,4,96,0,4,0.41779,0.3970580546935303,-0.022962067755643044,-0.046050303297467454,-0.00235,0.0022470664724919096,0.30527515585838166,0.30541326564744486,0.5022167630803515,0.5627036579081874,0.14333935271200945,0.45555555555555555,"[0.5831850794000002, 1.1826436183841762]","[0.5344941110000001, 2.124642977934941]","[1.0, 0.29835573613640765]","[1.0, 0.29835573613640765]",0,0,"[0.07336000000000001, -3.0419378000000004]","[0.0, 0.0]"
