,None,Low,Mid,High
received,90.12670068027212,86.46291016406563,65.82297293917567,11.140700030012004
not_received,9.873299319727892,13.537089835934374,34.17702706082433,88.85929996998799
spreader,11.257427971188475,11.595800820328131,5.530543467386954,0.7744597839135654
disinterested,66.94767281912766,64.26398059223689,48.41647909163665,7.420887104841936
