,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,6,0.0,100,80,21,21,59,0.434968,0.4093125133456355,0.02499265422924768,0.16109194455022358,-0.003928,0.0,0.499151997437334,0.499151997437334
1,5,1.0,102,84,16,24,60,0.43578,0.4103903285510495,0.02515870549114611,0.16109194455022358,-0.004155,-0.014024245462320853,0.5050378416644768,0.4985504979615318
2,4,1.0,102,85,15,23,62,0.437056,0.41168058226814863,0.02515870549114611,0.16109194455022358,-0.004462,-0.04208558892510403,0.5092626152618094,0.4940952641427616
3,2,1.0,101,84,17,23,61,0.43822,0.4128626456819121,0.018856354438141935,0.16109194455022358,-0.004268,-0.05579937958853445,0.5109415706016153,0.49449721430457383
4,4,0.931225,102,85,15,23,62,0.439516,0.41415406418454603,0.018856354438141935,0.16109194455022358,-0.004576,-0.0825447200531669,0.5113622081216105,0.4900554584793312
5,2,0.587811,101,74,26,19,55,0.440405,0.41505840382893266,0.01900674432863274,0.16109194455022358,-0.004328,-0.09192078502080443,0.5135827265011745,0.4887847665982316
6,1,1.0,101,74,26,19,55,0.441457,0.41620219467860575,0.01900674432863274,0.16109194455022358,-0.004004,-0.10506618810602558,0.5157256152964915,0.48801606683626014
7,1,0.426625,101,74,26,19,55,0.442487,0.41730264092306457,0.016711480208297876,0.16109194455022358,-0.003723,-0.1105707955493913,0.5173643229650946,0.4870378801048687
8,1,-0.805534,101,77,25,22,55,0.441047,0.41581587815113047,0.01965373012394743,0.16109194455022358,-0.003901,-0.09098064080289722,0.5148382365573275,0.4894953907844803
9,4,0.0,100,80,21,21,59,0.441047,0.41581587815113047,0.01965373012394743,0.16109194455022358,-0.003901,-0.09098064080289722,0.5148382365573275,0.4894953907844803
10,6,1.0,102,87,6,17,70,0.44174,0.4163904858641676,0.004462860124773127,0.12053357398685806,-0.003823,-0.1351951585159309,0.5162071994281481,0.48652714259161095
11,5,0.571205,102,88,6,16,72,0.442551,0.41709642459038976,0.004462860124773127,0.10685449415277087,-0.003771,-0.15293663093755078,0.5195184301189351,0.4836342282855002
