,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,6,0.0,100,80,21,21,59,0.434968,0.4093125133456355,0.02499265422924768,0.16109194455022358,-0.003928,0.0,0.499151997437334,0.499151997437334
1,5,1.0,102,84,16,24,60,0.43578,0.4103903285510495,0.02515870549114611,0.16109194455022358,-0.004155,-0.014024245462320853,0.5050378416644768,0.4985504979615318
2,4,1.0,102,85,15,23,62,0.437056,0.41168058226814863,0.02515870549114611,0.16109194455022358,-0.004462,-0.04208558892510403,0.5092626152618094,0.4940952641427616
3,2,1.0,101,84,17,23,61,0.43822,0.4128626456819121,0.018856354438141935,0.16109194455022358,-0.004268,-0.05579937958853445,0.5109415706016153,0.49449721430457383
4,4,-0.406058,102,79,21,20,59,0.436872,0.4114513254826453,0.018856354438141935,0.16109194455022358,-0.003835,-0.04933278667128988,0.50911651833477,0.49857743019454154
5,5,-1.0,101,82,20,23,59,0.435336,0.40986656187396264,0.02502586900701335,0.16109194455022358,-0.00411,-0.07208838734550778,0.5119131706616332,0.49890163931667825
6,2,-1.0,102,81,20,24,57,0.434006,0.4084297841017246,0.022659092359737027,0.16109194455022358,-0.004144,-0.08974451931730619,0.5131953551276527,0.49707777693803745
7,2,-0.249512,102,79,21,20,59,0.432639,0.40696728442847785,0.031487716938322904,0.172153419329005,-0.003667,-0.09319311032516567,0.5157781257757715,0.49494499884742255
8,4,-1.0,101,74,26,19,55,0.431499,0.4057223173620135,0.031487716938322904,0.172153419329005,-0.004214,-0.09639678480197257,0.5192281743194609,0.49530870565503043
9,1,1.0,101,74,26,19,55,0.432513,0.40686610821168673,0.031487716938322904,0.172153419329005,-0.00389,-0.1095421878871937,0.5223005302060967,0.49385239497541883
10,1,-0.265122,101,92,3,17,75,0.431768,0.4060491147476345,0.021945518366022123,0.1268771937322698,-0.004052,-0.10352704279367882,0.523142497196388,0.49524947458118523
11,1,0.357423,101,92,3,17,75,0.432513,0.40686610821168673,0.021945518366022123,0.1268771937322698,-0.00389,-0.1116015953291369,0.5224229476818248,0.4933869547547656
