,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,6,1.0,102,24,79,3,21,0.450275,0.42662163819380006,0.00980937302358747,0.23917168261455918,0.012291,0.007899065695792882,0.3037007742262755,0.2944774732554017
1,1,1.0,101,28,75,5,23,0.450619,0.42694843557942097,0.009094345873987457,0.23917168261455918,0.012615,0.025496475080906147,0.31607259655637254,0.29641922082821726
2,1,-0.562676,101,25,78,3,22,0.450409,0.4267850368866105,0.009094345873987457,0.23917168261455918,0.012453,0.021221420711974113,0.30526025092530457,0.29544834704180944
3,5,0.0,100,44,59,7,37,0.450409,0.4267850368866105,0.009094345873987457,0.23917168261455918,0.012453,0.021221420711974113,0.30526025092530457,0.29544834704180944
4,2,-1.0,102,24,79,3,21,0.450311,0.42662163819380006,0.009094345873987457,0.23917168261455918,0.012615,0.027745874271844665,0.3158898072359842,0.29641922082821726
5,2,0.0,100,45,58,7,38,0.450311,0.42662163819380006,0.009094345873987457,0.23917168261455918,0.012615,0.027745874271844665,0.3158898072359842,0.29641922082821726
6,3,0.0,100,45,58,7,38,0.450311,0.42662163819380006,0.009094345873987457,0.23917168261455918,0.012615,0.027745874271844665,0.3158898072359842,0.29641922082821726
7,3,1.0,101,29,74,4,25,0.450558,0.4268667362330157,0.009094345873987457,0.24654755815799212,0.012858,0.03430453195792881,0.32640511500297453,0.29787553150782886
8,3,0.0,100,45,58,7,38,0.450558,0.4268667362330157,0.009094345873987457,0.24654755815799212,0.012858,0.03430453195792881,0.32640511500297453,0.29787553150782886
9,4,0.0,100,43,60,7,36,0.450558,0.4268667362330157,0.009094345873987457,0.24654755815799212,0.012858,0.03430453195792881,0.32640511500297453,0.29787553150782886
10,6,0.512112,102,84,16,15,69,0.451423,0.4278206462523829,0.003379770835050691,0.1751852293906483,0.012993,0.03177630185621822,0.3299456930530889,0.2974729903397302
11,6,-0.384764,102,83,17,15,68,0.450557,0.4268402540955202,0.004039180970737175,0.1751852293906483,0.012993,0.03762130755075022,0.3266855270336715,0.2976481678801833
12,4,1.0,102,79,19,14,65,0.451294,0.42765724755957246,0.004039180970737175,0.1751852293906483,0.013479,0.019026205671860502,0.32631665837658236,0.2952209834141638
13,5,1.0,102,50,53,8,42,0.451542,0.4279840449451934,0.004039180970737175,0.1751852293906483,0.013155,0.030313402079627495,0.3430470506095921,0.29667729409377547
14,6,-1.0,101,75,26,15,60,0.450591,0.4268402540955202,0.011242745820922778,0.1751852293906483,0.013317,0.007288228171860504,0.3436834981824076,0.2942969569282129
15,4,0.26891,102,79,19,14,65,0.451308,0.42765785798590616,0.013627282448149649,0.1751852293906483,0.013697,0.002127158255878424,0.34288033895910663,0.2925615740803165
16,6,-0.231137,101,75,26,15,60,0.450457,0.426632680868655,0.013627282448149649,0.1751852293906483,0.01397,-0.0031293485402380753,0.3412356127455144,0.29068117150575024
17,4,0.21076,102,86,15,16,70,0.451287,0.42761656297946865,0.01342875184171753,0.1751852293906483,0.014391,-0.008464774745561881,0.3391695845901746,0.2876353108215355
18,4,0.529508,102,86,15,16,70,0.452207,0.428683882966135,0.008341299940119127,0.1751852293906483,0.01479,-0.02239759567007426,0.3393231124639482,0.2845825103360986
19,4,0.647101,102,78,20,14,64,0.453026,0.42957059367214845,0.009250923580984024,0.1751852293906483,0.015183,-0.03294899304498092,0.3430148913246791,0.2822685491710501
20,4,-0.514837,102,83,16,14,69,0.452243,0.4286719008616909,0.01709239626307334,0.19381275863825556,0.014778,-0.015363476604851465,0.3452828447227373,0.2854848727147394
21,5,-0.365607,102,91,8,15,76,0.451337,0.42752811001201774,0.015574266216581405,0.19381275863825556,0.014455,-0.00176492362667537,0.3418971282178829,0.2877539751733127
22,1,-0.311732,101,88,9,13,75,0.450599,0.4267982386497289,0.013943070675269738,0.19381275863825556,0.014624,0.004061774304438818,0.3430845466644849,0.28948559353899733
23,2,-0.63588,102,89,11,16,73,0.44961,0.4257361471464609,0.014490666544996212,0.1951785558000078,0.014381,-0.03437171866597265,0.3448997824288892,0.2859903104483824
24,3,-0.853846,101,86,10,12,74,0.448992,0.4250825523752191,0.010940310011132999,0.1951785558000078,0.014543,-0.027508915247880492,0.35191521675002935,0.28715598287556693
25,5,0.506347,102,76,22,13,63,0.449579,0.4258235615648468,0.01430915251720283,0.1951785558000078,0.01463,-0.03550191442060097,0.3641098599100897,0.2862113401571203
26,5,0.73907,102,65,34,11,54,0.450177,0.4264771563360886,0.013802197551006423,0.1951785558000078,0.014144,-0.02637407433969482,0.3817956707074496,0.2881913751085766
27,2,1.0,101,90,6,14,76,0.450849,0.4271817817635367,0.013802197551006423,0.1951785558000078,0.014195,-0.025442404441405383,0.3812120726491972,0.2872357276099296
28,3,0.877537,101,86,6,10,76,0.451451,0.42783537653477854,0.013802197551006423,0.1951785558000078,0.014356,-0.02465689657732774,0.37928543090162437,0.2871990648429393
29,3,-0.404546,101,86,10,12,74,0.450813,0.4271414951809791,0.013802197551006423,0.1951785558000078,0.014478,-0.021495750060144807,0.38332811439676995,0.28835843602648636
30,4,-1.0,101,79,20,14,65,0.450085,0.4262428023705216,0.011196495602471592,0.21212545505460653,0.014397,-0.021298314719983353,0.38946128429968263,0.28881188926136425
31,4,-0.526674,101,89,7,13,76,0.449308,0.4253086546088463,0.015529635963009278,0.21212545505460653,0.014443,-0.024224533190545967,0.3924254619695856,0.28982328382447103
32,2,0.259579,101,80,18,13,67,0.450065,0.4261532719917772,0.01536489718488701,0.21212545505460653,0.014524,-0.023884050942300682,0.3969876027462846,0.2897304853249124
33,4,0.958331,102,79,20,14,65,0.450889,0.42705196480223473,0.0110358298651403,0.21212545505460653,0.014605,-0.052092437446174374,0.39403788138706136,0.28730330085889294
34,4,-0.643901,101,83,6,7,76,0.450552,0.4266434680702086,0.015165125255807684,0.21212545505460653,0.014363,-0.05597936734948941,0.3951766474064788,0.2874710145320321
35,3,0.626582,101,85,5,9,76,0.45096,0.42713366414863996,0.015165125255807684,0.21212545505460653,0.014686,-0.04853853018501199,0.39297275308750723,0.289061921425236
36,3,-1.0,102,92,3,14,78,0.450052,0.4261532719917772,0.016140427335731438,0.20875209957886703,0.014201,-0.09738694966553146,0.3941959560001285,0.28556760200776027
37,3,0.743006,101,88,5,12,76,0.450588,0.42672516741661376,0.016140427335731438,0.20875209957886703,0.014444,-0.09384240261673882,0.39113361522342954,0.2872112630533166
38,3,-0.794502,102,88,2,9,79,0.450054,0.4261532719917771,0.018565455071735206,0.20875209957886703,0.014363,-0.11304391116998977,0.3927433414370217,0.28593957224425515
39,5,-1.0,101,92,8,17,75,0.449154,0.4251947579193007,0.01429869571481569,0.20875209957886703,0.014546,-0.1367379136618992,0.3920542424078955,0.28538585525396387
40,1,0.835492,101,91,5,16,75,0.450005,0.4261715322842915,0.01467754162594648,0.19943181512138178,0.014381,-0.15501382433187916,0.39141176570886643,0.28171181503928716
41,3,-0.664131,102,86,13,14,72,0.449349,0.42551793751304956,0.01467754162594648,0.19943181512138178,0.014219,-0.17128394153021484,0.3937324161943033,0.279686194049457
42,3,0.465652,101,90,10,16,74,0.450116,0.426464008227299,0.01808219178082193,0.19943181512138178,0.013929,-0.1742763528069909,0.39625903949527413,0.27837954278192734
43,3,0.447972,101,92,4,15,77,0.451093,0.42744440038416187,0.01838709677419355,0.19943181512138178,0.013767,-0.17861338651673048,0.3951616704947659,0.2770019678088961
44,2,0.48492,101,88,6,12,76,0.451795,0.4283430931946194,0.01838709677419355,0.19943181512138178,0.013687,-0.18818129349504342,0.39889652644941265,0.2741236795476427
45,3,-0.432008,101,90,7,14,76,0.451094,0.4274887627604284,0.01715716322856645,0.19943181512138178,0.01379,-0.18294530534988762,0.39788597208048054,0.27544706703083915
46,1,-0.19911,101,90,8,14,76,0.450495,0.426703391667022,0.015477879530504326,0.19943181512138178,0.014039,-0.17859721240490378,0.3954061681969855,0.2779163871764702
47,1,0.682919,101,85,15,15,70,0.451309,0.4276562280076568,0.015780811307967865,0.19943181512138178,0.013742,-0.19470635407402215,0.39713423907077183,0.27445970977625445
48,3,-0.881318,102,88,2,9,79,0.450805,0.4270843325828202,0.014412161565990988,0.19943181512138178,0.013661,-0.21603133347237463,0.39836622936203403,0.27292792934083226
49,5,-0.6086,101,82,18,15,67,0.449969,0.4261263488869352,0.014412161565990988,0.19943181512138178,0.014169,-0.23792753180549778,0.3954465546047524,0.2681975706470988
50,4,0.801187,102,90,7,14,76,0.450855,0.4271067410437979,0.014485098429595939,0.19012961847994791,0.014331,-0.26544964325529397,0.3910295031484418,0.2653097812384492
51,1,0.659623,101,86,9,11,75,0.45146,0.42776033581503975,0.014807838279010862,0.18088064260792278,0.014007,-0.2765060135287462,0.3943526866435874,0.26224701303056486
52,1,-1.0,102,84,17,16,68,0.450423,0.4266165449653666,0.014485098429595939,0.18088064260792278,0.014007,-0.31673272205163105,0.3978160711096068,0.25912593657372074
53,3,-0.446513,102,91,9,16,75,0.449369,0.42553606273072897,0.014228101273916723,0.18088064260792278,0.013783,-0.3221655328984488,0.3985348827600922,0.25656235383369924
54,1,-0.857628,102,90,9,15,75,0.448573,0.4246229595156912,0.01598048104913346,0.18088064260792278,0.013392,-0.35805052931854436,0.39765835072125727,0.25191207147586286
55,1,-0.767772,102,89,9,14,75,0.447512,0.4235608680124232,0.01616553540777658,0.18088064260792278,0.013635,-0.37877218877380586,0.39977158567271365,0.25018214245029885
56,1,0.611257,102,87,11,14,73,0.448338,0.4244116019541694,0.01616553540777658,0.18088064260792278,0.013764,-0.3632569771306755,0.39858129149795635,0.2543617252981953
57,3,0.336124,101,91,5,15,76,0.449106,0.4253327738608821,0.016239017031635116,0.18088064260792278,0.013424,-0.3716512484232126,0.3979033507212573,0.2511351638762084
58,4,0.931225,102,88,8,12,76,0.449747,0.42602888795698657,0.016239017031635116,0.18088064260792278,0.01322,-0.39757764108772176,0.3933222351872766,0.24938505308872194
59,1,0.38797,101,90,2,11,79,0.450367,0.4266143739367074,0.016239017031635116,0.18088064260792278,0.013477,-0.3969973314425724,0.3930823303329078,0.24953003258710382
60,5,-0.418555,101,87,5,11,76,0.449836,0.42608523656589775,0.014894089058183447,0.176539342750116,0.013353,-0.3893266633750735,0.38884801772559147,0.2503546476834911
61,4,0.94254,102,80,18,13,67,0.450606,0.42690223002995,0.014894089058183447,0.176539342750116,0.013515,-0.4135436279840271,0.3889583808323877,0.24885415124336166
62,4,0.757665,102,83,16,14,69,0.451478,0.4278528882970841,0.014894089058183447,0.176539342750116,0.013486,-0.4333804149431117,0.38804067791976626,0.2471522866586446
63,4,0.673508,101,86,12,14,72,0.452141,0.42858818241473123,0.014894089058183447,0.176539342750116,0.013243,-0.4252363993120437,0.38439384623809303,0.24987991416673525
64,2,-0.463706,102,89,6,13,76,0.451636,0.42793458764348946,0.014894089058183447,0.176539342750116,0.013081,-0.43788965861055296,0.3834177500765974,0.24955725793671277
65,3,0.689911,101,87,13,15,72,0.45237,0.42866988176113646,0.009962805656848938,0.176539342750116,0.012839,-0.44858859324994277,0.3848393879406751,0.24740445712765127
66,3,0.423781,101,90,10,16,74,0.45313,0.42936087378782356,0.01302309411619296,0.176539342750116,0.012552,-0.45604676637586206,0.3863299180377624,0.2460135967731537
67,5,0.476385,102,86,13,14,72,0.453896,0.4301774263084859,0.011161047250944111,0.176539342750116,0.012875,-0.46544709778406174,0.3891581258047528,0.24329297022446392
68,4,0.17765,101,87,3,9,78,0.454341,0.430653283777774,0.011447695449959387,0.176539342750116,0.012978,-0.4648637374298423,0.3873524267756265,0.24483814909463333
69,2,0.474973,101,87,9,12,75,0.454887,0.4312305961066892,0.011696735128879594,0.176539342750116,0.012903,-0.4711101908656568,0.3892888471639761,0.24377650463874218
70,2,0.36269,102,93,5,17,76,0.455574,0.43198000936552267,0.01147042671843698,0.17693967104204555,0.012836,-0.46630779906659825,0.38984378891154875,0.24465793263226968
71,4,-0.449925,102,87,11,14,73,0.454735,0.4311630159014704,0.01147042671843698,0.17693967104204555,0.012188,-0.44896902376651004,0.39420267046494695,0.2486370471071152
72,3,0.908497,101,87,7,11,76,0.455303,0.43173491132630704,0.01147042671843698,0.17693967104204555,0.011946,-0.4601707382333,0.3946224287173741,0.24677485964756826
73,1,0.760056,101,87,6,11,76,0.455842,0.432260562494109,0.014003552535042664,0.17693967104204555,0.011749,-0.4796466875292125,0.3964698132590632,0.2448402202462438
